[2016-11-29 10:40:26.753]		推广：__fan.test.lacues.cn____
[2016-11-29 10:40:38.054]		推广：http://fan.test.lacues.cn/__fan.test.lacues.cn____
[2016-11-29 10:41:02.477]		推广：http://fan.test.lacues.cn/Search.html?t=0.16303853111539102__fan.test.lacues.cn____
[2016-11-29 10:41:28.031]		推广：http://fan.test.lacues.cn/Product_List.html?showtype=__fan.test.lacues.cn____
[2016-11-29 10:42:16.070]		推广：__fan.test.lacues.cn____
[2016-11-29 10:42:24.233]		推广：http://fan.test.lacues.cn/__fan.test.lacues.cn____
[2016-11-29 10:42:26.561]		推广：http://fan.test.lacues.cn/Search.html?t=0.1626507418705272__fan.test.lacues.cn____
[2016-11-29 10:42:30.024]		推广：http://fan.test.lacues.cn/Product_List.html?showtype=__fan.test.lacues.cn____
[2016-11-29 10:45:36.348]		推广：http://fan.test.lacues.cn/Product_List.html?showtype=__fan.test.lacues.cn____
[2016-11-29 10:46:27.816]		推广：__fan.test.lacues.cn____
[2016-11-29 10:46:33.017]		推广：__fan.test.lacues.cn____
[2016-11-29 10:46:47.591]		推广：http://fan.test.lacues.cn/__fan.test.lacues.cn____
[2016-11-29 10:46:50.640]		推广：__fan.test.lacues.cn____
[2016-11-29 10:47:23.259]		推广：__fan.test.lacues.cn____
[2016-11-29 10:48:59.029]		推广：__fan.test.lacues.cn____
[2016-11-29 10:49:15.097]		推广：__fan.test.lacues.cn____
[2016-11-29 10:51:10.101]		推广：http://fan.test.lacues.cn/Product_List.html?showtype=__fan.test.lacues.cn____
[2016-11-29 10:51:16.137]		推广：__fan.test.lacues.cn____
[2016-11-29 10:51:18.353]		推广：__fan.test.lacues.cn____
[2016-11-29 10:51:22.268]		推广：__fan.test.lacues.cn____
[2016-11-29 10:51:31.862]		推广：__fan.test.lacues.cn____
[2016-11-29 10:51:33.001]		推广：__fan.test.lacues.cn____
[2016-11-29 10:59:26.308]		推广：http://fan.test.lacues.cn/Product_List.html?showtype=__fan.test.lacues.cn____
[2016-11-29 10:59:47.985]		推广：http://fan.test.lacues.cn/Product_List.html?showtype=__fan.test.lacues.cn____
[2016-11-29 11:00:45.130]		推广：http://fan.test.lacues.cn/__fan.test.lacues.cn____
[2016-11-29 11:00:46.638]		推广：http://fan.test.lacues.cn/Account/index.html?t=0.9732387030923855__fan.test.lacues.cn____
[2016-11-29 11:02:03.011]		推广：http://fan.test.lacues.cn/Account/index.html?t=0.9732387030923855__fan.test.lacues.cn____
[2016-11-29 11:02:05.351]		推广：http://fan.test.lacues.cn/Account/login.html?t=0.7367037436016801__fan.test.lacues.cn____
[2016-11-29 11:02:27.582]		推广：http://fan.test.lacues.cn/Account/index.html?t=0.7178411613662312__fan.test.lacues.cn____
[2016-11-29 11:02:38.237]		推广：http://fan.test.lacues.cn/index.html__fan.test.lacues.cn____
[2016-11-29 11:02:40.701]		推广：http://fan.test.lacues.cn/Account/login.html?t=0.3690365642096396__fan.test.lacues.cn____
[2016-11-29 11:02:42.546]		推广：http://fan.test.lacues.cn/index.html__fan.test.lacues.cn____
[2016-11-29 11:02:54.620]		推广：http://fan.test.lacues.cn/Account/index.html?t=0.7816502152541185__fan.test.lacues.cn____
[2016-11-29 11:02:58.906]		推广：http://fan.test.lacues.cn/Account/MyTKSH_List.html?paytype=TKSH__fan.test.lacues.cn____
[2016-11-29 11:03:01.323]		推广：http://fan.test.lacues.cn/Account/MyTKSH_TXWL.html?order_code=DD1242103__fan.test.lacues.cn____
[2016-11-29 11:03:04.294]		推广：http://fan.test.lacues.cn/Account/MyTKSH_List.html?paytype=TKSH__fan.test.lacues.cn____
[2016-11-29 11:04:23.406]		推广：http://fan.test.lacues.cn/Account/MyTKSH_TXWL.html?order_code=DD1242103__fan.test.lacues.cn____
[2016-11-29 11:04:38.103]		推广：http://fan.test.lacues.cn/Account/MyTKSH_List.html?paytype=TKSH__fan.test.lacues.cn____
[2016-11-29 11:05:37.211]		推广：http://fan.test.lacues.cn/Account/MyTKSH_TXWL.html?order_code=DD1473103__fan.test.lacues.cn____
[2016-11-29 11:05:43.701]		推广：http://fan.test.lacues.cn/Account/MyTKSH_List.html?paytype=TKSH__fan.test.lacues.cn____
[2016-11-29 11:05:46.538]		推广：http://fan.test.lacues.cn/Account/MyTKSH_Detail.html?order_code=DD1473103__fan.test.lacues.cn____
[2016-11-29 11:05:48.812]		推广：http://fan.test.lacues.cn/Account/MyTKSH_List.html?paytype=TKSH__fan.test.lacues.cn____
[2016-11-29 11:07:32.815]		推广：http://fan.test.lacues.cn/Account/MyTKSH_Detail.html?order_code=DD1473103__fan.test.lacues.cn____
[2016-11-29 11:07:42.455]		推广：http://fan.test.lacues.cn/Account/MyTKSH_Detail.html?order_code=DD1473103__fan.test.lacues.cn____
[2016-11-29 11:07:46.281]		推广：http://fan.test.lacues.cn/Account/MyTKSH_List.html?paytype=TKSH__fan.test.lacues.cn____
[2016-11-29 11:08:07.861]		推广：http://fan.test.lacues.cn/Account/MyTKSH_Detail.html?order_code=DD1473103__fan.test.lacues.cn____
[2016-11-29 11:08:29.723]		推广：http://fan.test.lacues.cn/Account/MyTKSH_List.html?paytype=TKSH__fan.test.lacues.cn____
[2016-11-29 11:08:30.160]		推广：http://fan.test.lacues.cn/Account/login.html?t=0.7538598568187849__fan.test.lacues.cn____
[2016-11-29 11:08:55.853]		推广：http://fan.test.lacues.cn/Account/index.html?t=0.7816502152541185__fan.test.lacues.cn____
[2016-11-29 11:08:57.927]		推广：http://fan.test.lacues.cn/Account/MyTKSH_List.html?paytype=TKSH__fan.test.lacues.cn____
[2016-11-29 11:08:58.239]		推广：http://fan.test.lacues.cn/Account/index.html?t=0.7816502152541185__fan.test.lacues.cn____
[2016-11-29 11:08:58.473]		推广：http://fan.test.lacues.cn/Account/index.html?t=0.7816502152541185__fan.test.lacues.cn____
[2016-11-29 11:09:07.008]		推广：__fan.test.lacues.cn____
[2016-11-29 11:09:11.165]		推广：http://fan.test.lacues.cn/__fan.test.lacues.cn____
[2016-11-29 11:09:13.908]		推广：http://fan.test.lacues.cn/Account/index.html?t=0.2981448641512543__fan.test.lacues.cn____
[2016-11-29 11:09:31.592]		推广：http://fan.test.lacues.cn/Account/login.html?t=0.8879847934003919__fan.test.lacues.cn____
[2016-11-29 11:09:35.949]		推广：http://fan.test.lacues.cn/__fan.test.lacues.cn____
[2016-11-29 11:09:38.496]		推广：http://fan.test.lacues.cn/Account/index.html?t=0.037551901303231716__fan.test.lacues.cn____
[2016-11-29 11:09:42.478]		推广：http://fan.test.lacues.cn/Account/MyTKSH_List.html?paytype=TKSH__fan.test.lacues.cn____
[2016-11-29 11:09:45.554]		推广：http://fan.test.lacues.cn/Account/MyTKSH_Detail.html?order_code=DD1450103__fan.test.lacues.cn____
[2016-11-29 11:09:45.730]		推广：http://fan.test.lacues.cn/Account/MyTKSH_List.html?paytype=TKSH__fan.test.lacues.cn____
[2016-11-29 11:09:48.167]		推广：http://fan.test.lacues.cn/Account/index.html?t=0.037551901303231716__fan.test.lacues.cn____
[2016-11-29 11:09:50.152]		推广：http://fan.test.lacues.cn/Account/MyTKSH_List.html?paytype=TKSH__fan.test.lacues.cn____
[2016-11-29 11:09:56.460]		推广：http://fan.test.lacues.cn/Account/MyTKSH_Detail.html?order_code=DD1242103__fan.test.lacues.cn____
[2016-11-29 11:10:48.799]		推广：__fan.test.lacues.cn____
[2016-11-29 11:10:53.306]		推广：http://fan.test.lacues.cn/Account/MyTKSH_TXWL.html?afterCode=RGS161115100001__fan.test.lacues.cn____
[2016-11-29 11:11:23.420]		推广：http://fan.test.lacues.cn/Account/MyTKSH_List.html?paytype=TKSH__fan.test.lacues.cn____
[2016-11-29 11:11:26.726]		推广：http://fan.test.lacues.cn/Account/MyTKSH_Detail.html?order_code=DD1242103__fan.test.lacues.cn____
[2016-11-29 11:11:27.653]		推广：http://fan.test.lacues.cn/Account/MyTKSH_List.html?paytype=TKSH__fan.test.lacues.cn____
[2016-11-29 11:11:29.664]		推广：http://fan.test.lacues.cn/Account/index.html?t=0.037551901303231716__fan.test.lacues.cn____
[2016-11-29 11:11:30.320]		推广：http://fan.test.lacues.cn/Account/MyTKSH_List.html?paytype=TKSH__fan.test.lacues.cn____
[2016-11-29 11:11:31.229]		推广：http://fan.test.lacues.cn/Account/index.html?t=0.037551901303231716__fan.test.lacues.cn____
[2016-11-29 11:11:34.361]		推广：http://fan.test.lacues.cn/__fan.test.lacues.cn____
[2016-11-29 11:11:37.158]		推广：http://fan.test.lacues.cn/Account/index.html?t=0.7177518305834383__fan.test.lacues.cn____
[2016-11-29 11:11:40.745]		推广：http://fan.test.lacues.cn/Account/MyOrder_List.html?paytype=JYCG__fan.test.lacues.cn____
