[2016-11-17 09:08:35.034]		推广：__fan.test.lacues.cn____
[2016-11-17 09:08:37.700]		推广：http://fan.test.lacues.cn/Account/index.html?t=0.327252883464098__fan.test.lacues.cn____
[2016-11-17 09:08:39.299]		推广：http://fan.test.lacues.cn/Account/index.html?t=0.327252883464098__fan.test.lacues.cn____
[2016-11-17 09:09:13.938]		推广：http://fan.test.lacues.cn/Account/Register.html?t=0.6976568081881851__fan.test.lacues.cn____
[2016-11-17 09:15:43.824]		推广：http://fan.test.lacues.cn/Account/index.html?t=0.327252883464098__fan.test.lacues.cn____
[2016-11-17 09:19:11.310]		推广：http://fan.test.lacues.cn/Account/login.html?t=0.8705365210771561__fan.test.lacues.cn____
[2016-11-17 09:19:13.417]		推广：http://fan.test.lacues.cn/__fan.test.lacues.cn____
[2016-11-17 09:19:15.478]		推广：http://fan.test.lacues.cn/Account/index.html?t=0.9121218852233142__fan.test.lacues.cn____
[2016-11-17 09:19:19.286]		推广：http://fan.test.lacues.cn/Account/MyAccount.html?t=0.7861254804302007__fan.test.lacues.cn____
[2016-11-17 09:19:44.297]		推广：http://fan.test.lacues.cn/__fan.test.lacues.cn____
[2016-11-17 09:19:47.215]		推广：http://fan.test.lacues.cn/Account/index.html?t=0.9121218852233142__fan.test.lacues.cn____
[2016-11-17 09:19:50.186]		推广：http://fan.test.lacues.cn/Account/MyAccount.html?t=0.060638225404545665__fan.test.lacues.cn____
[2016-11-17 09:20:15.548]		推广：http://fan.test.lacues.cn/Account/MyAccount.html?t=0.060638225404545665__fan.test.lacues.cn____
[2016-11-17 09:21:12.258]		推广：http://fan.test.lacues.cn/Account/MyNickName.html?t=0.3409279496408999__fan.test.lacues.cn____
[2016-11-17 09:21:14.598]		推广：http://fan.test.lacues.cn/Account/MyAccount.html?t=0.060638225404545665__fan.test.lacues.cn____
[2016-11-17 09:26:09.722]		推广：http://fan.test.lacues.cn/Account/MyAccount.html?t=0.060638225404545665__fan.test.lacues.cn____
[2016-11-17 09:28:04.675]		推广：__fan.test.lacues.cn____
[2016-11-17 09:28:10.372]		推广：http://fan.test.lacues.cn/__fan.test.lacues.cn____
[2016-11-17 09:29:00.838]		推广：http://fan.test.lacues.cn/__fan.test.lacues.cn____
[2016-11-17 09:29:59.292]		推广：http://fan.test.lacues.cn/Account/MyAccount.html?t=0.060638225404545665__fan.test.lacues.cn____
[2016-11-17 09:31:25.825]		推广：__fan.test.lacues.cn____
[2016-11-17 09:31:27.356]		推广：http://fan.test.lacues.cn/__fan.test.lacues.cn____
[2016-11-17 09:31:29.355]		推广：http://fan.test.lacues.cn/Account/index.html?t=0.6198088712371763__fan.test.lacues.cn____
[2016-11-17 09:31:33.550]		推广：http://fan.test.lacues.cn/Account/login.html?t=0.08171039756266896__fan.test.lacues.cn____
[2016-11-17 09:31:34.717]		推广：http://fan.test.lacues.cn/__fan.test.lacues.cn____
[2016-11-17 09:31:37.775]		推广：http://fan.test.lacues.cn/Account/index.html?t=0.9148254638050537__fan.test.lacues.cn____
