[2016-11-10 09:03:03.142]		推广：__fan.test.lacues.cn____
[2016-11-10 09:03:13.634]		推广：http://fan.test.lacues.cn/__fan.test.lacues.cn____
[2016-11-10 09:03:15.692]		推广：http://fan.test.lacues.cn/Account/index.html?t=0.37449218588881195__fan.test.lacues.cn____
[2016-11-10 09:09:51.550]		推广：http://fan.test.lacues.cn/Account/index.html?t=0.37449218588881195__fan.test.lacues.cn____
[2016-11-10 10:53:54.426]		推广：__fan.test.lacues.cn____
[2016-11-10 10:56:29.775]		推广：http://fan.test.lacues.cn/Account/login.html?t=0.6932381833903491__fan.test.lacues.cn____
[2016-11-10 10:56:38.451]		推广：http://fan.test.lacues.cn/__fan.test.lacues.cn____
[2016-11-10 10:56:44.185]		推广：http://fan.test.lacues.cn/cart.html__fan.test.lacues.cn____
[2016-11-10 10:56:47.836]		推广：http://fan.test.lacues.cn/Sale/FullCut.html?t=0.7121766994241625__fan.test.lacues.cn____
[2016-11-10 11:30:14.191]		推广：http://fan.test.lacues.cn/__fan.test.lacues.cn____
[2016-11-10 11:30:15.619]		推广：http://fan.test.lacues.cn/Account/index.html?t=0.12497117516663869__fan.test.lacues.cn____
[2016-11-10 11:30:19.457]		推广：http://fan.test.lacues.cn/Account/login.html?t=0.8153809170476389__fan.test.lacues.cn____
[2016-11-10 11:32:03.071]		推广：http://fan.test.lacues.cn/__fan.test.lacues.cn____
[2016-11-10 11:32:14.742]		推广：http://fan.test.lacues.cn/Account/index.html?t=0.6619988058885815__fan.test.lacues.cn____
[2016-11-10 11:32:45.440]		推广：http://fan.test.lacues.cn/Account/MyAccount.html?t=0.42757981829897296__fan.test.lacues.cn____
[2016-11-10 11:33:24.614]		推广：http://fan.test.lacues.cn/Account/index.html?t=0.5653095795930414__fan.test.lacues.cn____
[2016-11-10 11:36:48.974]		推广：http://fan.test.lacues.cn/Account/MyCoupon.html?t=0.2791500380022225__fan.test.lacues.cn____
[2016-11-10 11:36:52.498]		推广：http://fan.test.lacues.cn/Account/index.html?t=0.5653095795930414__fan.test.lacues.cn____
[2016-11-10 11:36:54.688]		推广：http://fan.test.lacues.cn/Feedback_Index.html?t=0.40138852036308426__fan.test.lacues.cn____
[2016-11-10 11:36:59.615]		推广：http://fan.test.lacues.cn/Feedback.html?t=0.3946866020327491__fan.test.lacues.cn____
[2016-11-10 11:37:06.901]		推广：http://fan.test.lacues.cn/Feedback_Index.html?t=0.14285899564555304__fan.test.lacues.cn____
[2016-11-10 11:37:11.566]		推广：http://fan.test.lacues.cn/Account/index.html?t=0.9963390671399763__fan.test.lacues.cn____
[2016-11-10 11:40:13.069]		推广：http://fan.test.lacues.cn/Account/index.html?t=0.9963390671399763__fan.test.lacues.cn____
[2016-11-10 11:40:31.869]		推广：http://fan.test.lacues.cn/Account/MyOrder_List.html?paytype=ALL__fan.test.lacues.cn____
[2016-11-10 11:41:16.260]		推广：http://fan.test.lacues.cn/Account/MyOrder_detail.html?order_code=OS1312103__fan.test.lacues.cn____
[2016-11-10 11:41:22.323]		推广：http://fan.test.lacues.cn/Product_Detail.html?pid=8016465483__fan.test.lacues.cn____
[2016-11-10 11:41:41.212]		推广：http://fan.test.lacues.cn/Account/MyOrder_detail.html?order_code=OS1312103__fan.test.lacues.cn____
[2016-11-10 11:41:43.318]		推广：http://fan.test.lacues.cn/Account/index.html?t=0.9963390671399763__fan.test.lacues.cn____
[2016-11-10 11:41:43.473]		推广：http://fan.test.lacues.cn/Account/MyOrder_List.html?paytype=ALL__fan.test.lacues.cn____
[2016-11-10 11:41:45.859]		推广：http://fan.test.lacues.cn/Account/MyOrder_List.html?paytype=ALL__fan.test.lacues.cn____
[2016-11-10 11:49:14.301]		推广：__fan.test.lacues.cn____
[2016-11-10 11:50:33.021]		推广：http://fan.test.lacues.cn/__fan.test.lacues.cn____
[2016-11-10 11:52:16.144]		推广：http://fan.test.lacues.cn/Account/index.html?t=0.0017398725342849808__fan.test.lacues.cn____
[2016-11-10 11:52:20.425]		推广：http://fan.test.lacues.cn/Account/MyCollection.html?t=0.9822642944658633__fan.test.lacues.cn____
[2016-11-10 11:52:22.485]		推广：http://fan.test.lacues.cn/index.html?t=0.18517300850729335__fan.test.lacues.cn____
[2016-11-10 11:56:34.462]		推广：__fan.test.lacues.cn____
[2016-11-10 12:13:43.777]		推广：http://fan.test.lacues.cn/__fan.test.lacues.cn____
[2016-11-10 12:13:46.930]		推广：http://fan.test.lacues.cn/Account/index.html?t=0.045985766453668475__fan.test.lacues.cn____
[2016-11-10 12:14:08.275]		推广：http://fan.test.lacues.cn/Account/login.html?t=0.04233640874736011__fan.test.lacues.cn____
[2016-11-10 12:14:10.856]		推广：http://fan.test.lacues.cn/__fan.test.lacues.cn____
[2016-11-10 12:14:14.672]		推广：http://fan.test.lacues.cn/Account/index.html?t=0.8405360702890903__fan.test.lacues.cn____
[2016-11-10 12:14:21.358]		推广：http://fan.test.lacues.cn/Account/MyCoupon.html?t=0.7967319779563695__fan.test.lacues.cn____
[2016-11-10 12:14:49.011]		推广：http://fan.test.lacues.cn/Account/index.html?t=0.8405360702890903__fan.test.lacues.cn____
[2016-11-10 12:14:52.860]		推广：__fan.test.lacues.cn____
[2016-11-10 12:14:57.125]		推广：http://fan.test.lacues.cn/__fan.test.lacues.cn____
[2016-11-10 12:15:14.601]		推广：http://fan.test.lacues.cn/Account/index.html?t=0.12578050512820482__fan.test.lacues.cn____
[2016-11-10 12:15:16.134]		推广：http://fan.test.lacues.cn/Account/MyCoupon.html?t=0.24986032373271883__fan.test.lacues.cn____
[2016-11-10 12:18:09.281]		推广：http://fan.test.lacues.cn/Account/MyCoupon_DH.html?t=0.253917726688087__fan.test.lacues.cn____
