[2016-11-30 09:32:11.024]		推广：__fan.test.lacues.cn____
[2016-11-30 09:32:23.426]		推广：__fan.test.lacues.cn____
[2016-11-30 09:32:40.186]		推广：__fan.test.lacues.cn____
[2016-11-30 09:33:11.351]		推广：http://fan.test.lacues.cn/__fan.test.lacues.cn____
[2016-11-30 09:33:16.171]		推广：http://fan.test.lacues.cn/Account/index.html?t=0.7228759711142629__fan.test.lacues.cn____
[2016-11-30 09:33:31.224]		推广：http://fan.test.lacues.cn/Account/login.html?t=0.08826607628725469__fan.test.lacues.cn____
[2016-11-30 09:33:33.666]		推广：http://fan.test.lacues.cn/__fan.test.lacues.cn____
[2016-11-30 09:33:37.855]		推广：http://fan.test.lacues.cn/Account/index.html?t=0.4197490552905947__fan.test.lacues.cn____
[2016-11-30 09:33:42.362]		推广：http://fan.test.lacues.cn/Account/MyTKSH_List.html?paytype=TKSH__fan.test.lacues.cn____
[2016-11-30 09:33:43.285]		推广：__fan.test.lacues.cn____
[2016-11-30 09:34:02.615]		推广：http://fan.test.lacues.cn/Account/index.html?t=0.4197490552905947__fan.test.lacues.cn____
[2016-11-30 09:34:05.102]		推广：http://fan.test.lacues.cn/Account/MyTKSH_List.html?paytype=TKSH__fan.test.lacues.cn____
[2016-11-30 09:34:12.309]		推广：http://fan.test.lacues.cn/Account/index.html?t=0.4197490552905947__fan.test.lacues.cn____
[2016-11-30 09:34:14.576]		推广：http://fan.test.lacues.cn/Account/MyTKSH_List.html?paytype=TKSH__fan.test.lacues.cn____
[2016-11-30 09:34:32.703]		推广：__fan.test.lacues.cn____
[2016-11-30 09:34:49.153]		推广：__fan.test.lacues.cn____
[2016-11-30 09:34:57.305]		推广：http://fan.test.lacues.cn/Account/MyTKSH_Detail.html?order_code=DD1473103__fan.test.lacues.cn____
[2016-11-30 09:35:00.010]		推广：http://fan.test.lacues.cn/Account/MyTKSH_List.html?paytype=TKSH__fan.test.lacues.cn____
[2016-11-30 09:35:02.358]		推广：http://fan.test.lacues.cn/Account/MyTKSH_Detail.html?order_code=DD1242103__fan.test.lacues.cn____
[2016-11-30 09:35:04.459]		推广：http://fan.test.lacues.cn/Account/MyTKSH_List.html?paytype=TKSH__fan.test.lacues.cn____
[2016-11-30 09:35:24.093]		推广：http://fan.test.lacues.cn/Account/MyTKSH_Detail.html?order_code=DD1242103__fan.test.lacues.cn____
[2016-11-30 09:35:25.478]		推广：__fan.test.lacues.cn____
[2016-11-30 09:35:26.869]		推广：http://fan.test.lacues.cn/Account/MyTKSH_List.html?paytype=TKSH__fan.test.lacues.cn____
[2016-11-30 09:35:39.805]		推广：http://fan.test.lacues.cn/Account/MyTKSH_TXWL.html?order_code=DD1587103__fan.test.lacues.cn____
[2016-11-30 09:36:00.137]		推广：__fan.test.lacues.cn____
[2016-11-30 09:36:31.677]		推广：http://fan.test.lacues.cn/Account/MyTKSH_List.html?paytype=TKSH__fan.test.lacues.cn____
[2016-11-30 09:42:47.887]		推广：__fan.test.lacues.cn____
[2016-11-30 09:42:56.198]		推广：__fan.test.lacues.cn____
[2016-11-30 09:42:57.852]		推广：__fan.test.lacues.cn____
[2016-11-30 09:42:58.736]		推广：__fan.test.lacues.cn____
[2016-11-30 09:43:17.750]		推广：__fan.test.lacues.cn____
[2016-11-30 09:43:27.491]		推广：__fan.test.lacues.cn____
[2016-11-30 09:43:28.755]		推广：http://fan.test.lacues.cn/__fan.test.lacues.cn____
[2016-11-30 09:43:29.634]		推广：http://fan.test.lacues.cn/Account/index.html?t=0.8539700236919543__fan.test.lacues.cn____
[2016-11-30 09:43:33.777]		推广：http://fan.test.lacues.cn/Account/login.html?t=0.4239061450322059__fan.test.lacues.cn____
[2016-11-30 09:43:34.621]		推广：__fan.test.lacues.cn____
[2016-11-30 09:43:49.268]		推广：__fan.test.lacues.cn____
[2016-11-30 09:46:08.998]		推广：__fan.test.lacues.cn____
[2016-11-30 09:47:50.149]		推广：__fan.test.lacues.cn____
[2016-11-30 09:48:31.501]		推广：__fan.test.lacues.cn____
[2016-11-30 09:48:42.223]		推广：__fan.test.lacues.cn____
[2016-11-30 09:48:43.782]		推广：http://fan.test.lacues.cn/__fan.test.lacues.cn____
[2016-11-30 09:50:49.094]		推广：http://fan.test.lacues.cn/Account/index.html?t=0.6409940691664815__fan.test.lacues.cn____
[2016-11-30 09:50:54.215]		推广：http://fan.test.lacues.cn/Account/MyOrder_List.html?paytype=JYCG__fan.test.lacues.cn____
[2016-11-30 09:50:56.764]		推广：http://fan.test.lacues.cn/Account/index.html?t=0.6409940691664815__fan.test.lacues.cn____
[2016-11-30 09:51:01.244]		推广：http://fan.test.lacues.cn/Account/MyOrder_List.html?paytype=JYCG__fan.test.lacues.cn____
[2016-11-30 09:51:02.931]		推广：http://fan.test.lacues.cn/Account/MyOrder_detail.html?order_code=DD1471103__fan.test.lacues.cn____
[2016-11-30 09:51:03.962]		推广：http://fan.test.lacues.cn/Account/MyOrder_List.html?paytype=JYCG__fan.test.lacues.cn____
[2016-11-30 09:51:05.556]		推广：http://fan.test.lacues.cn/Account/index.html?t=0.6409940691664815__fan.test.lacues.cn____
[2016-11-30 09:51:09.001]		推广：http://fan.test.lacues.cn/__fan.test.lacues.cn____
[2016-11-30 09:51:13.724]		推广：http://fan.test.lacues.cn/Account/index.html?t=0.12679478502832353__fan.test.lacues.cn____
