[2016-12-09 13:54:16.055]		推广：__fan.test.lacues.cn____
[2016-12-09 13:54:19.516]		推广：http://fan.test.lacues.cn/__fan.test.lacues.cn____
[2016-12-09 13:54:22.973]		推广：__fan.test.lacues.cn____
[2016-12-09 13:54:25.577]		推广：http://fan.test.lacues.cn/__fan.test.lacues.cn____
[2016-12-09 13:54:31.825]		推广：http://fan.test.lacues.cn/Account/index.html?t=0.03457955042490557__fan.test.lacues.cn____
[2016-12-09 14:33:59.695]		推广：__fan.test.lacues.cn____
[2016-12-09 14:34:13.572]		推广：http://fan.test.lacues.cn/__fan.test.lacues.cn____
[2016-12-09 15:15:52.887]		推广：http://fan.test.lacues.cn/cart.html__fan.test.lacues.cn____
[2016-12-09 18:44:13.820]		推广：__fan.test.lacues.cn____
[2016-12-09 18:44:16.073]		推广：http://fan.test.lacues.cn/__fan.test.lacues.cn____
[2016-12-09 18:44:17.243]		推广：http://fan.test.lacues.cn/Account/index.html?t=0.5544096195336767__fan.test.lacues.cn____
[2016-12-09 18:44:25.745]		推广：http://fan.test.lacues.cn/Account/login.html?t=0.885970584159107__fan.test.lacues.cn____
[2016-12-09 18:44:27.461]		推广：http://fan.test.lacues.cn/__fan.test.lacues.cn____
[2016-12-09 18:44:27.898]		推广：http://fan.test.lacues.cn/Search.html?t=0.50779927115205__fan.test.lacues.cn____
[2016-12-09 18:44:29.045]		推广：http://fan.test.lacues.cn/Product_List.html?showtype=__fan.test.lacues.cn____
[2016-12-09 18:44:30.278]		推广：http://fan.test.lacues.cn/Search.html?t=0.50779927115205__fan.test.lacues.cn____
[2016-12-09 18:44:34.793]		推广：http://fan.test.lacues.cn/Product_List.html?showtype=__fan.test.lacues.cn____
[2016-12-09 18:44:36.948]		推广：http://fan.test.lacues.cn/Product_Detail.html?pid=58016100288__fan.test.lacues.cn____
[2016-12-09 18:44:44.543]		推广：http://fan.test.lacues.cn/Product_List.html?showtype=__fan.test.lacues.cn____
[2016-12-09 18:44:51.877]		推广：http://fan.test.lacues.cn/Product_Detail.html?pid=58016100287__fan.test.lacues.cn____
[2016-12-09 18:44:52.657]		推广：http://fan.test.lacues.cn/Product_List.html?showtype=__fan.test.lacues.cn____
[2016-12-09 18:44:54.250]		推广：http://fan.test.lacues.cn/Search.html?t=0.50779927115205__fan.test.lacues.cn____
[2016-12-09 18:44:55.853]		推广：http://fan.test.lacues.cn/__fan.test.lacues.cn____
[2016-12-09 18:44:59.371]		推广：http://fan.test.lacues.cn/Category.html?t=0.7279038851300188__fan.test.lacues.cn____
[2016-12-09 18:45:34.489]		推广：http://fan.test.lacues.cn/Product_List.html?showtype=category__fan.test.lacues.cn____
[2016-12-09 18:45:36.043]		推广：http://fan.test.lacues.cn/Search.html?t=0.6076847704228465__fan.test.lacues.cn____
[2016-12-09 18:45:38.268]		推广：http://fan.test.lacues.cn/Search.html?t=0.6076847704228465__fan.test.lacues.cn____
[2016-12-09 18:45:39.395]		推广：http://fan.test.lacues.cn/Search.html?t=0.6076847704228465__fan.test.lacues.cn____
[2016-12-09 18:46:06.821]		推广：http://fan.test.lacues.cn/Product_List.html?showtype=__fan.test.lacues.cn____
[2016-12-09 18:46:08.600]		推广：http://fan.test.lacues.cn/Search.html?t=0.8159368593142748__fan.test.lacues.cn____
[2016-12-09 18:46:10.642]		推广：http://fan.test.lacues.cn/Search.html?t=0.8159368593142748__fan.test.lacues.cn____
[2016-12-09 18:46:10.785]		推广：http://fan.test.lacues.cn/Search.html?t=0.8159368593142748__fan.test.lacues.cn____
[2016-12-09 18:46:10.983]		推广：http://fan.test.lacues.cn/Search.html?t=0.8159368593142748__fan.test.lacues.cn____
[2016-12-09 18:46:11.146]		推广：http://fan.test.lacues.cn/Search.html?t=0.8159368593142748__fan.test.lacues.cn____
[2016-12-09 18:46:11.304]		推广：http://fan.test.lacues.cn/Search.html?t=0.8159368593142748__fan.test.lacues.cn____
[2016-12-09 18:46:11.459]		推广：http://fan.test.lacues.cn/Search.html?t=0.8159368593142748__fan.test.lacues.cn____
[2016-12-09 18:46:11.617]		推广：http://fan.test.lacues.cn/Search.html?t=0.8159368593142748__fan.test.lacues.cn____
[2016-12-09 18:46:11.755]		推广：http://fan.test.lacues.cn/Search.html?t=0.8159368593142748__fan.test.lacues.cn____
[2016-12-09 18:46:11.889]		推广：http://fan.test.lacues.cn/Search.html?t=0.8159368593142748__fan.test.lacues.cn____
[2016-12-09 18:46:12.171]		推广：http://fan.test.lacues.cn/Search.html?t=0.8159368593142748__fan.test.lacues.cn____
[2016-12-09 18:46:13.042]		推广：http://fan.test.lacues.cn/Search.html?t=0.8159368593142748__fan.test.lacues.cn____
[2016-12-09 18:46:35.019]		推广：http://fan.test.lacues.cn/Product_List.html?showtype=__fan.test.lacues.cn____
[2016-12-09 18:46:36.091]		推广：http://fan.test.lacues.cn/Search.html?t=0.8159368593142748__fan.test.lacues.cn____
[2016-12-09 18:46:36.813]		推广：http://fan.test.lacues.cn/Product_List.html?showtype=__fan.test.lacues.cn____
[2016-12-09 18:46:37.863]		推广：http://fan.test.lacues.cn/Search.html?t=0.6076847704228465__fan.test.lacues.cn____
[2016-12-09 18:46:39.032]		推广：http://fan.test.lacues.cn/Product_List.html?showtype=category__fan.test.lacues.cn____
[2016-12-09 18:46:41.947]		推广：http://fan.test.lacues.cn/Category.html?t=0.7279038851300188__fan.test.lacues.cn____
[2016-12-09 18:46:44.611]		推广：http://fan.test.lacues.cn/Product_List.html?showtype=category__fan.test.lacues.cn____
[2016-12-09 18:46:45.413]		推广：http://fan.test.lacues.cn/Category.html?t=0.7279038851300188__fan.test.lacues.cn____
[2016-12-09 18:46:51.170]		推广：http://fan.test.lacues.cn/__fan.test.lacues.cn____
[2016-12-09 18:46:53.790]		推广：http://fan.test.lacues.cn/Product_Detail.html?pid=8016465481__fan.test.lacues.cn____
[2016-12-09 18:47:00.872]		推广：http://fan.test.lacues.cn/__fan.test.lacues.cn____
[2016-12-09 18:47:06.504]		推广：http://fan.test.lacues.cn/Product_Detail.html?pid=8016465485__fan.test.lacues.cn____
[2016-12-09 18:47:08.985]		推广：http://fan.test.lacues.cn/__fan.test.lacues.cn____
[2016-12-09 18:47:15.412]		推广：http://fan.test.lacues.cn/Product_Detail.html?pid=8016465483__fan.test.lacues.cn____
[2016-12-09 18:47:20.154]		推广：http://fan.test.lacues.cn/__fan.test.lacues.cn____
[2016-12-09 18:48:19.282]		推广：http://fan.test.lacues.cn/__fan.test.lacues.cn____
[2016-12-09 18:48:24.723]		推广：http://fan.test.lacues.cn/__fan.test.lacues.cn____
[2016-12-09 18:49:02.787]		推广：http://fan.test.lacues.cn/__fan.test.lacues.cn____
[2016-12-09 18:49:12.881]		推广：http://fan.test.lacues.cn/__fan.test.lacues.cn____
[2016-12-09 18:49:19.638]		推广：http://fan.test.lacues.cn/__fan.test.lacues.cn____
[2016-12-09 18:49:34.989]		推广：http://fan.test.lacues.cn/__fan.test.lacues.cn____
[2016-12-09 18:49:53.737]		推广：http://fan.test.lacues.cn/__fan.test.lacues.cn____
[2016-12-09 18:50:18.354]		推广：http://fan.test.lacues.cn/Product_Detail.html?pid=8016465483__fan.test.lacues.cn____
[2016-12-09 18:50:19.027]		推广：http://fan.test.lacues.cn/__fan.test.lacues.cn____
[2016-12-09 18:50:20.237]		推广：http://fan.test.lacues.cn/Search.html?t=0.3632385272733345__fan.test.lacues.cn____
[2016-12-09 18:50:21.538]		推广：http://fan.test.lacues.cn/Product_List.html?showtype=__fan.test.lacues.cn____
[2016-12-09 18:50:24.002]		推广：http://fan.test.lacues.cn/Search.html?t=0.3632385272733345__fan.test.lacues.cn____
[2016-12-09 18:50:27.643]		推广：http://fan.test.lacues.cn/__fan.test.lacues.cn____
