[2016-11-15 10:31:00.778]		推广：__fan.test.lacues.cn____
[2016-11-15 10:33:05.799]		推广：http://fan.test.lacues.cn/__fan.test.lacues.cn____
[2016-11-15 10:33:07.380]		推广：http://fan.test.lacues.cn/Account/index.html?t=0.5148134943849683__fan.test.lacues.cn____
[2016-11-15 10:33:17.147]		推广：http://fan.test.lacues.cn/Account/login.html?t=0.7678676378797331__fan.test.lacues.cn____
[2016-11-15 10:34:06.716]		推广：http://fan.test.lacues.cn/__fan.test.lacues.cn____
[2016-11-15 10:34:18.160]		推广：http://fan.test.lacues.cn/Account/index.html?t=0.2535571960357528__fan.test.lacues.cn____
[2016-11-15 10:34:31.938]		推广：http://fan.test.lacues.cn/Account/MyTKSH_List.html?paytype=TKSH__fan.test.lacues.cn____
[2016-11-15 10:35:31.294]		推广：http://fan.test.lacues.cn/Account/index.html?t=0.2535571960357528__fan.test.lacues.cn____
[2016-11-15 10:35:37.805]		推广：http://fan.test.lacues.cn/__fan.test.lacues.cn____
[2016-11-15 10:38:29.855]		推广：http://fan.test.lacues.cn/Account/index.html?t=0.2535571960357528__fan.test.lacues.cn____
[2016-11-15 10:38:36.661]		推广：http://fan.test.lacues.cn/Account/MyOrder_List.html?paytype=ALL__fan.test.lacues.cn____
[2016-11-15 10:39:05.902]		推广：http://fan.test.lacues.cn/Account/index.html?t=0.2535571960357528__fan.test.lacues.cn____
[2016-11-15 10:39:21.781]		推广：http://fan.test.lacues.cn/Account/MyOrder_List.html?paytype=ALL__fan.test.lacues.cn____
[2016-11-15 10:46:43.939]		推广：__fan.test.lacues.cn____
[2016-11-15 10:46:52.524]		推广：http://fan.test.lacues.cn/__fan.test.lacues.cn____
[2016-11-15 10:46:53.920]		推广：http://fan.test.lacues.cn/Account/index.html?t=0.6884940599890879__fan.test.lacues.cn____
[2016-11-15 10:46:56.605]		推广：http://fan.test.lacues.cn/Account/login.html?t=0.11997989064090286__fan.test.lacues.cn____
[2016-11-15 10:58:23.518]		推广：__fan.test.lacues.cn____
[2016-11-15 10:59:14.367]		推广：__fan.test.lacues.cn____
[2016-11-15 11:33:37.514]		推广：__fan.test.lacues.cn____
[2016-11-15 11:33:46.711]		推广：__fan.test.lacues.cn____
[2016-11-15 11:34:02.198]		推广：__fan.test.lacues.cn____
[2016-11-15 11:39:58.181]		推广：__fan.test.lacues.cn____
[2016-11-15 11:40:03.204]		推广：__fan.test.lacues.cn____
[2016-11-15 11:40:06.009]		推广：http://fan.test.lacues.cn/__fan.test.lacues.cn____
[2016-11-15 11:40:07.588]		推广：http://fan.test.lacues.cn/Account/index.html?t=0.4411521170795849__fan.test.lacues.cn____
[2016-11-15 11:40:10.894]		推广：http://fan.test.lacues.cn/Account/login.html?t=0.572232306383778__fan.test.lacues.cn____
[2016-11-15 11:40:18.168]		推广：http://fan.test.lacues.cn/__fan.test.lacues.cn____
[2016-11-15 11:40:19.755]		推广：__fan.test.lacues.cn____
[2016-11-15 11:47:10.625]		推广：http://fan.test.lacues.cn/__fan.test.lacues.cn____
[2016-11-15 11:47:25.624]		推广：http://fan.test.lacues.cn/Search.html?t=0.41381978592835367__fan.test.lacues.cn____
[2016-11-15 11:50:03.182]		推广：http://fan.test.lacues.cn/Product_List.html?showtype=__fan.test.lacues.cn____
[2016-11-15 11:50:04.166]		推广：http://fan.test.lacues.cn/Product_List.html?showtype=__fan.test.lacues.cn____
[2016-11-15 11:57:26.071]		推广：__fan.test.lacues.cn____
[2016-11-15 11:57:30.983]		推广：http://fan.test.lacues.cn/__fan.test.lacues.cn____
[2016-11-15 11:59:10.528]		推广：http://fan.test.lacues.cn/Account/index.html?t=0.9057172989065214__fan.test.lacues.cn____
[2016-11-15 11:59:10.652]		推广：http://fan.test.lacues.cn/Account/index.html?t=0.9057172989065214__fan.test.lacues.cn____
[2016-11-15 11:59:29.654]		推广：http://fan.test.lacues.cn/Product_List.html?showtype=__fan.test.lacues.cn____
[2016-11-15 11:59:29.809]		推广：http://fan.test.lacues.cn/Search.html?t=0.05065940087661147__fan.test.lacues.cn____
[2016-11-15 11:59:30.199]		推广：http://fan.test.lacues.cn/Product_List.html?showtype=__fan.test.lacues.cn____
[2016-11-15 11:59:32.883]		推广：http://fan.test.lacues.cn/Search.html?t=0.05065940087661147__fan.test.lacues.cn____
[2016-11-15 11:59:35.926]		推广：http://fan.test.lacues.cn/Search.html?t=0.06094688340090215__fan.test.lacues.cn____
[2016-11-15 11:59:36.213]		推广：__fan.test.lacues.cn____
[2016-11-15 11:59:39.092]		推广：http://fan.test.lacues.cn/Search.html?t=0.04995170095935464__fan.test.lacues.cn____
[2016-11-15 12:11:59.285]		推广：http://fan.test.lacues.cn/Account/index.html?t=0.9057172989065214__fan.test.lacues.cn____
[2016-11-15 13:06:24.984]		推广：http://fan.test.lacues.cn/Account/index.html?t=0.9057172989065214__fan.test.lacues.cn____
[2016-11-15 14:28:33.890]		推广：http://fan.test.lacues.cn/__fan.test.lacues.cn____
[2016-11-15 14:28:33.927]		推广：http://fan.test.lacues.cn/Search.html?t=0.044914365091175634__fan.test.lacues.cn____
[2016-11-15 14:28:35.507]		推广：http://fan.test.lacues.cn/__fan.test.lacues.cn____
[2016-11-15 14:28:37.425]		推广：http://fan.test.lacues.cn/Account/index.html?t=0.1854770148412368__fan.test.lacues.cn____
[2016-11-15 14:28:42.419]		推广：http://fan.test.lacues.cn/Account/login.html?t=0.13113527286063853__fan.test.lacues.cn____
[2016-11-15 14:29:01.484]		推广：http://fan.test.lacues.cn/__fan.test.lacues.cn____
[2016-11-15 14:29:03.558]		推广：http://fan.test.lacues.cn/Account/index.html?t=0.3087395086880429__fan.test.lacues.cn____
[2016-11-15 14:29:07.489]		推广：http://fan.test.lacues.cn/Account/MyCoupon.html?t=0.24532724051291654__fan.test.lacues.cn____
[2016-11-15 14:29:09.468]		推广：http://fan.test.lacues.cn/Account/MyCoupon_DH.html?t=0.8204293954828734__fan.test.lacues.cn____
[2016-11-15 14:33:01.169]		推广：http://fan.test.lacues.cn/Account/MyCoupon.html?t=0.03306404370702243__fan.test.lacues.cn____
[2016-11-15 14:33:07.153]		推广：http://fan.test.lacues.cn/Account/index.html?t=0.3087395086880429__fan.test.lacues.cn____
[2016-11-15 14:37:41.472]		推广：http://fan.test.lacues.cn/Account/index.html?t=0.3087395086880429__fan.test.lacues.cn____
[2016-11-15 14:46:23.491]		推广：http://fan.test.lacues.cn/Account/MyCoupon.html?t=0.24532724051291654__fan.test.lacues.cn____
[2016-11-15 14:46:24.070]		推广：http://fan.test.lacues.cn/__fan.test.lacues.cn____
[2016-11-15 14:46:25.532]		推广：http://fan.test.lacues.cn/Search.html?t=0.43967970485363117__fan.test.lacues.cn____
[2016-11-15 14:46:30.481]		推广：http://fan.test.lacues.cn/Product_List.html?showtype=__fan.test.lacues.cn____
[2016-11-15 14:50:15.994]		推广：http://fan.test.lacues.cn/Search.html?t=0.43967970485363117__fan.test.lacues.cn____
[2016-11-15 14:50:31.597]		推广：http://fan.test.lacues.cn/Product_List.html?showtype=__fan.test.lacues.cn____
[2016-11-15 14:50:31.642]		推广：http://fan.test.lacues.cn/Search.html?t=0.43967970485363117__fan.test.lacues.cn____
[2016-11-15 14:50:31.830]		推广：http://fan.test.lacues.cn/Search.html?t=0.43967970485363117__fan.test.lacues.cn____
[2016-11-15 14:50:59.161]		推广：http://fan.test.lacues.cn/__fan.test.lacues.cn____
[2016-11-15 14:51:00.974]		推广：http://fan.test.lacues.cn/Account/index.html?t=0.880176966425289__fan.test.lacues.cn____
[2016-11-15 14:51:02.640]		推广：http://fan.test.lacues.cn/Account/MyAccount.html?t=0.728508642054299__fan.test.lacues.cn____
[2016-11-15 14:51:05.597]		推广：__fan.test.lacues.cn____
[2016-11-15 14:51:07.849]		推广：http://fan.test.lacues.cn/Account/index.html?t=0.3483246080235165__fan.test.lacues.cn____
[2016-11-15 14:51:11.692]		推广：http://fan.test.lacues.cn/Account/MyCoupon.html?t=0.03271564557932605__fan.test.lacues.cn____
[2016-11-15 14:51:13.310]		推广：http://fan.test.lacues.cn/Account/index.html?t=0.3483246080235165__fan.test.lacues.cn____
[2016-11-15 14:54:06.316]		推广：http://test-dlq.ycp8.cn/cdlq/web/template/template.html?pNum=PNM161111100001__fan.test.lacues.cn____
[2016-11-15 14:54:20.090]		推广：http://fan.test.lacues.cn/Account/index.html?t=0.3483246080235165__fan.test.lacues.cn____
[2016-11-15 14:54:25.192]		推广：http://fan.test.lacues.cn/Account/index.html?t=0.3483246080235165__fan.test.lacues.cn____
[2016-11-15 14:54:31.404]		推广：http://fan.test.lacues.cn/__fan.test.lacues.cn____
