[2016-11-28 09:19:40.830]		推广：__fan.test.lacues.cn____
[2016-11-28 09:20:16.993]		推广：http://fan.test.lacues.cn/__fan.test.lacues.cn____
[2016-11-28 09:20:28.147]		推广：http://fan.test.lacues.cn/Product_Detail.html?pid=8016465481__fan.test.lacues.cn____
[2016-11-28 09:20:32.998]		推广：http://fan.test.lacues.cn/__fan.test.lacues.cn____
[2016-11-28 09:20:36.305]		推广：http://fan.test.lacues.cn/Product_Detail.html?pid=8016465473__fan.test.lacues.cn____
[2016-11-28 09:20:43.559]		推广：http://fan.test.lacues.cn/__fan.test.lacues.cn____
[2016-11-28 09:20:46.601]		推广：http://fan.test.lacues.cn/Product_Detail.html?pid=8016465473__fan.test.lacues.cn____
[2016-11-28 09:20:52.029]		推广：http://fan.test.lacues.cn/__fan.test.lacues.cn____
[2016-11-28 09:20:54.167]		推广：http://fan.test.lacues.cn/Product_Detail.html?pid=8016465473__fan.test.lacues.cn____
[2016-11-28 09:20:56.840]		推广：http://fan.test.lacues.cn/__fan.test.lacues.cn____
[2016-11-28 09:21:03.933]		推广：http://fan.test.lacues.cn/Product_List.html?keyword=风扇__fan.test.lacues.cn____
[2016-11-28 09:35:08.194]		推广：http://fan.test.lacues.cn/Product_Detail.html?pid=8016465483__fan.test.lacues.cn____
[2016-11-28 09:35:16.946]		推广：http://fan.test.lacues.cn/Product_List.html?keyword=风扇__fan.test.lacues.cn____
[2016-11-28 09:36:28.223]		推广：http://fan.test.lacues.cn/Product_Detail.html?pid=8016465483__fan.test.lacues.cn____
[2016-11-28 09:36:34.510]		推广：http://fan.test.lacues.cn/Product_Detail.html?pid=8016465483__fan.test.lacues.cn____
[2016-11-28 09:36:59.254]		推广：http://test-dlq.ycp8.cn/cdlq/web/template/template.html?pNum=PNM161012100001__fan.test.lacues.cn____
[2016-11-28 09:41:04.298]		推广：http://test-dlq.ycp8.cn/cdlq/web/template/template.html?pNum=PNM161012100001__fan.test.lacues.cn____
[2016-11-28 09:41:06.955]		推广：http://fan.test.lacues.cn/Product_Detail.html?pid=8016465483__fan.test.lacues.cn____
[2016-11-28 09:41:10.879]		推广：http://fan.test.lacues.cn/order/OrderConfirm.html?t=0.5344016151502728__fan.test.lacues.cn____
[2016-11-28 09:43:02.488]		推广：http://fan.test.lacues.cn/Account/login.html?t=0.5658175102435052__fan.test.lacues.cn____
[2016-11-28 09:43:15.370]		推广：http://fan.test.lacues.cn/order/OrderConfirm.html?t=0.5344016151502728__fan.test.lacues.cn____
