[2016-12-12 11:15:37.491]		推广：__fan.test.lacues.cn____
[2016-12-12 11:16:58.165]		推广：http://fan.test.lacues.cn/__fan.test.lacues.cn____
[2016-12-12 11:17:35.780]		推广：http://fan.test.lacues.cn/__fan.test.lacues.cn____
[2016-12-12 11:17:38.120]		推广：http://fan.test.lacues.cn/Search.html?t=0.7842269502580166__fan.test.lacues.cn____
[2016-12-12 11:18:09.584]		推广：http://fan.test.lacues.cn/Product_List.html?showtype=__fan.test.lacues.cn____
[2016-12-12 11:18:12.819]		推广：http://fan.test.lacues.cn/Search.html?t=0.7842269502580166__fan.test.lacues.cn____
[2016-12-12 11:18:17.465]		推广：http://fan.test.lacues.cn/__fan.test.lacues.cn____
[2016-12-12 11:18:22.635]		推广：http://fan.test.lacues.cn/Account/index.html?t=0.8823303922545165__fan.test.lacues.cn____
[2016-12-12 11:18:34.040]		推广：http://fan.test.lacues.cn/Account/login.html?t=0.7563162655569613__fan.test.lacues.cn____
[2016-12-12 11:18:37.920]		推广：http://fan.test.lacues.cn/Account/index.html?t=0.8823303922545165__fan.test.lacues.cn____
[2016-12-12 11:18:46.642]		推广：http://fan.test.lacues.cn/Account/index.html?t=0.8823303922545165__fan.test.lacues.cn____
[2016-12-12 11:18:51.980]		推广：http://fan.test.lacues.cn/Account/MyCollection.html?t=0.17071305098943412__fan.test.lacues.cn____
[2016-12-12 11:18:56.105]		推广：http://fan.test.lacues.cn/Account/index.html?t=0.8823303922545165__fan.test.lacues.cn____
[2016-12-12 11:19:06.302]		推广：http://fan.test.lacues.cn/Account/MyCollection.html?t=0.20920722465962172__fan.test.lacues.cn____
[2016-12-12 11:19:12.357]		推广：http://fan.test.lacues.cn/Account/index.html?t=0.8823303922545165__fan.test.lacues.cn____
[2016-12-12 11:19:20.704]		推广：http://fan.test.lacues.cn/__fan.test.lacues.cn____
[2016-12-12 11:19:28.623]		推广：http://fan.test.lacues.cn/Product_Detail.html?pid=8016465481__fan.test.lacues.cn____
[2016-12-12 11:19:36.667]		推广：http://fan.test.lacues.cn/__fan.test.lacues.cn____
[2016-12-12 11:19:40.089]		推广：http://fan.test.lacues.cn/Account/index.html?t=0.27466569980606437__fan.test.lacues.cn____
[2016-12-12 11:19:44.838]		推广：http://fan.test.lacues.cn/Account/index.html?t=0.27466569980606437__fan.test.lacues.cn____
[2016-12-12 11:20:32.104]		推广：http://fan.test.lacues.cn/Account/MyCollection.html?t=0.6942716378252953__fan.test.lacues.cn____
[2016-12-12 11:20:45.215]		推广：http://fan.test.lacues.cn/__fan.test.lacues.cn____
[2016-12-12 11:20:51.297]		推广：http://fan.test.lacues.cn/cart.html__fan.test.lacues.cn____
