[2016-11-24 09:52:54.838]		推广：__fan.test.lacues.cn____
[2016-11-24 09:53:00.291]		推广：__fan.test.lacues.cn____
[2016-11-24 10:28:34.645]		推广：__fan.test.lacues.cn____
[2016-11-24 10:28:57.369]		推广：__fan.test.lacues.cn____
[2016-11-24 11:01:11.379]		推广：__fan.test.lacues.cn____
[2016-11-24 11:01:49.841]		推广：__fan.test.lacues.cn____
[2016-11-24 11:03:01.539]		推广：__fan.test.lacues.cn____
[2016-11-24 11:11:50.320]		推广：__fan.test.lacues.cn____
[2016-11-24 11:11:56.731]		推广：__fan.test.lacues.cn____
[2016-11-24 11:13:50.371]		推广：__fan.test.lacues.cn____
[2016-11-24 11:13:53.436]		推广：http://fan.test.lacues.cn/__fan.test.lacues.cn____
[2016-11-24 11:13:54.457]		推广：http://fan.test.lacues.cn/Account/index.html?t=0.8407519644542325__fan.test.lacues.cn____
[2016-11-24 11:13:57.772]		推广：http://fan.test.lacues.cn/Account/login.html?t=0.7310704124423082__fan.test.lacues.cn____
[2016-11-24 11:14:06.963]		推广：http://fan.test.lacues.cn/__fan.test.lacues.cn____
[2016-11-24 11:15:25.006]		推广：__fan.test.lacues.cn____
[2016-11-24 11:15:42.357]		推广：http://fan.test.lacues.cn/__fan.test.lacues.cn____
[2016-11-24 11:15:44.308]		推广：http://fan.test.lacues.cn/Account/index.html?t=0.5813605813849042__fan.test.lacues.cn____
[2016-11-24 11:16:00.732]		推广：http://fan.test.lacues.cn/Account/login.html?t=0.7560703192690263__fan.test.lacues.cn____
[2016-11-24 11:16:07.674]		推广：http://fan.test.lacues.cn/__fan.test.lacues.cn____
[2016-11-24 11:16:15.013]		推广：http://fan.test.lacues.cn/Search.html?t=0.01602119974176852__fan.test.lacues.cn____
[2016-11-24 11:16:25.849]		推广：http://fan.test.lacues.cn/Product_List.html?showtype=__fan.test.lacues.cn____
[2016-11-24 11:16:38.787]		推广：http://fan.test.lacues.cn/Product_Detail.html?pid=8016465485__fan.test.lacues.cn____
[2016-11-24 11:17:37.855]		推广：http://fan.test.lacues.cn/__fan.test.lacues.cn____
[2016-11-24 11:18:56.496]		推广：__fan.test.lacues.cn____
[2016-11-24 11:18:57.314]		推广：http://fan.test.lacues.cn/__fan.test.lacues.cn____
[2016-11-24 11:18:57.810]		推广：http://fan.test.lacues.cn/Account/index.html?t=0.5813605813849042__fan.test.lacues.cn____
[2016-11-24 11:18:58.802]		推广：http://fan.test.lacues.cn/Account/login.html?t=0.7560703192690263__fan.test.lacues.cn____
[2016-11-24 11:18:59.915]		推广：http://fan.test.lacues.cn/__fan.test.lacues.cn____
[2016-11-24 11:19:05.515]		推广：http://fan.test.lacues.cn/Search.html?t=0.01602119974176852__fan.test.lacues.cn____
[2016-11-24 11:19:06.951]		推广：http://fan.test.lacues.cn/Product_List.html?showtype=__fan.test.lacues.cn____
[2016-11-24 11:19:07.153]		推广：http://fan.test.lacues.cn/Product_Detail.html?pid=8016465485__fan.test.lacues.cn____
[2016-11-24 11:19:20.734]		推广：http://fan.test.lacues.cn/__fan.test.lacues.cn____
[2016-11-24 11:20:18.040]		推广：http://fan.test.lacues.cn/Account/index.html?t=0.9076140086292632__fan.test.lacues.cn____
[2016-11-24 11:20:27.089]		推广：http://fan.test.lacues.cn/Account/MyOrder_List.html?paytype=DFK__fan.test.lacues.cn____
[2016-11-24 11:20:29.007]		推广：http://fan.test.lacues.cn/Account/MyOrder_detail.html?order_code=OS1517103__fan.test.lacues.cn____
[2016-11-24 11:20:42.345]		推广：http://fan.test.lacues.cn/Account/MyOrder_List.html?paytype=DFK__fan.test.lacues.cn____
[2016-11-24 11:20:44.236]		推广：http://fan.test.lacues.cn/Account/MyOrder_detail.html?order_code=OS1568103__fan.test.lacues.cn____
[2016-11-24 11:22:57.650]		推广：http://fan.test.lacues.cn/Product_Detail.html?pid=8016465485__fan.test.lacues.cn____
[2016-11-24 11:22:59.070]		推广：http://fan.test.lacues.cn/Account/MyOrder_detail.html?order_code=OS1568103__fan.test.lacues.cn____
[2016-11-24 11:23:09.330]		推广：http://fan.test.lacues.cn/Account/MyOrder_List.html?paytype=DFK__fan.test.lacues.cn____
[2016-11-24 11:23:09.436]		推广：http://fan.test.lacues.cn/Account/MyOrder_detail.html?order_code=OS1515103__fan.test.lacues.cn____
[2016-11-24 11:23:13.700]		推广：http://fan.test.lacues.cn/Account/MyOrder_List.html?paytype=DFK__fan.test.lacues.cn____
[2016-11-24 11:23:17.270]		推广：http://fan.test.lacues.cn/Account/MyOrder_detail.html?order_code=OS1517103__fan.test.lacues.cn____
[2016-11-24 11:24:31.689]		推广：__fan.test.lacues.cn____
[2016-11-24 11:24:32.587]		推广：http://fan.test.lacues.cn/__fan.test.lacues.cn____
