[2016-11-23 09:04:11.718]		推广：__fan.test.lacues.cn____
[2016-11-23 09:04:20.826]		推广：__fan.test.lacues.cn____
[2016-11-23 09:04:23.074]		推广：http://fan.test.lacues.cn/Account/index.html?t=0.26300777844153345__fan.test.lacues.cn____
[2016-11-23 09:04:30.800]		推广：http://fan.test.lacues.cn/Account/index.html?t=0.26300777844153345__fan.test.lacues.cn____
[2016-11-23 09:04:41.903]		推广：http://fan.test.lacues.cn/Account/login.html?t=0.6470190372783691__fan.test.lacues.cn____
[2016-11-23 09:04:52.950]		推广：__fan.test.lacues.cn____
[2016-11-23 09:05:02.229]		推广：__fan.test.lacues.cn____
[2016-11-23 09:15:51.718]		推广：__fan.test.lacues.cn____
[2016-11-23 09:16:43.996]		推广：http://fan.test.lacues.cn/__fan.test.lacues.cn____
[2016-11-23 09:16:53.287]		推广：http://fan.test.lacues.cn/Account/index.html?t=0.8481422797776759__fan.test.lacues.cn____
[2016-11-23 09:17:06.649]		推广：http://fan.test.lacues.cn/Account/login.html?t=0.44452446908690035__fan.test.lacues.cn____
[2016-11-23 09:17:15.115]		推广：http://fan.test.lacues.cn/__fan.test.lacues.cn____
[2016-11-23 09:17:19.765]		推广：http://fan.test.lacues.cn/Account/index.html?t=0.6607453704345971__fan.test.lacues.cn____
[2016-11-23 09:17:24.008]		推广：http://fan.test.lacues.cn/Account/MyTKSH_List.html?paytype=TKSH__fan.test.lacues.cn____
[2016-11-23 09:17:47.607]		推广：http://fan.test.lacues.cn/Account/MyTKSH_List.html?paytype=TKSH__fan.test.lacues.cn____
[2016-11-23 09:19:02.624]		推广：http://fan.test.lacues.cn/Account/index.html?t=0.6607453704345971__fan.test.lacues.cn____
[2016-11-23 09:20:58.960]		推广：http://fan.test.lacues.cn/Account/MyTKSH_List.html?paytype=TKSH__fan.test.lacues.cn____
[2016-11-23 09:21:04.409]		推广：http://fan.test.lacues.cn/Account/MyTKSH_Detail.html?order_code=DD1279103__fan.test.lacues.cn____
[2016-11-23 09:21:06.867]		推广：http://fan.test.lacues.cn/Account/MyTKSH_List.html?paytype=TKSH__fan.test.lacues.cn____
[2016-11-23 09:21:08.740]		推广：http://fan.test.lacues.cn/Account/index.html?t=0.6607453704345971__fan.test.lacues.cn____
[2016-11-23 09:21:12.248]		推广：http://fan.test.lacues.cn/Account/MyOrder_List.html?paytype=JYCG__fan.test.lacues.cn____
[2016-11-23 09:21:16.169]		推广：http://fan.test.lacues.cn/Account/MyOrder_detail.html?order_code=DD1450103__fan.test.lacues.cn____
[2016-11-23 09:21:52.145]		推广：http://fan.test.lacues.cn/Account/MyTKSH_SQ.html?order_code=DD1450103__fan.test.lacues.cn____
[2016-11-23 09:22:26.719]		推广：http://fan.test.lacues.cn/Account/MyTKSH_SQ.html?order_code=DD1450103__fan.test.lacues.cn____
[2016-11-23 09:22:26.764]		推广：http://fan.test.lacues.cn/Account/MyTKSH_List.html?t=0.1377387831453234__fan.test.lacues.cn____
[2016-11-23 09:22:26.953]		推广：http://fan.test.lacues.cn/Account/MyOrder_List.html?paytype=JYCG__fan.test.lacues.cn____
[2016-11-23 09:22:27.047]		推广：http://fan.test.lacues.cn/Account/MyOrder_detail.html?order_code=DD1450103__fan.test.lacues.cn____
[2016-11-23 09:22:35.037]		推广：http://fan.test.lacues.cn/Account/index.html?t=0.6607453704345971__fan.test.lacues.cn____
[2016-11-23 09:22:39.517]		推广：http://fan.test.lacues.cn/Account/MyOrder_List.html?paytype=JYCG__fan.test.lacues.cn____
[2016-11-23 09:22:50.958]		推广：http://fan.test.lacues.cn/Account/MyOrder_detail.html?order_code=DD1450103__fan.test.lacues.cn____
[2016-11-23 09:22:58.823]		推广：http://fan.test.lacues.cn/Account/MyTKSH_Detail.html?afterCode=CGS161123100001__fan.test.lacues.cn____
[2016-11-23 09:23:01.036]		推广：http://fan.test.lacues.cn/Account/MyOrder_List.html?paytype=JYCG__fan.test.lacues.cn____
[2016-11-23 09:23:03.048]		推广：http://fan.test.lacues.cn/Account/index.html?t=0.6607453704345971__fan.test.lacues.cn____
[2016-11-23 09:23:06.187]		推广：http://fan.test.lacues.cn/Account/MyOrder_List.html?paytype=JYCG__fan.test.lacues.cn____
[2016-11-23 09:23:08.558]		推广：http://fan.test.lacues.cn/Account/MyOrder_detail.html?order_code=DD1473103__fan.test.lacues.cn____
[2016-11-23 09:27:45.247]		推广：http://fan.test.lacues.cn/Account/MyOrder_List.html?paytype=JYCG__fan.test.lacues.cn____
[2016-11-23 09:38:25.606]		推广：__fan.test.lacues.cn____
[2016-11-23 09:38:32.103]		推广：http://fan.test.lacues.cn/Account/__fan.test.lacues.cn____
[2016-11-23 09:39:04.673]		推广：http://fan.test.lacues.cn/Account/login.html?t=0.5816063557285815__fan.test.lacues.cn____
[2016-11-23 09:39:07.261]		推广：http://fan.test.lacues.cn/__fan.test.lacues.cn____
[2016-11-23 09:39:09.628]		推广：http://fan.test.lacues.cn/Account/index.html?t=0.5890259423758835__fan.test.lacues.cn____
[2016-11-23 09:39:12.387]		推广：http://fan.test.lacues.cn/Account/MyTKSH_List.html?paytype=TKSH__fan.test.lacues.cn____
[2016-11-23 09:41:45.194]		推广：__fan.test.lacues.cn____
[2016-11-23 09:41:53.484]		推广：http://fan.test.lacues.cn/__fan.test.lacues.cn____
[2016-11-23 09:41:55.975]		推广：http://fan.test.lacues.cn/Account/index.html?t=0.9191674487665296__fan.test.lacues.cn____
[2016-11-23 09:42:17.849]		推广：http://fan.test.lacues.cn/Account/login.html?t=0.8328794322442263__fan.test.lacues.cn____
[2016-11-23 09:42:20.528]		推广：http://fan.test.lacues.cn/__fan.test.lacues.cn____
[2016-11-23 09:42:23.620]		推广：http://fan.test.lacues.cn/Account/index.html?t=0.659892363473773__fan.test.lacues.cn____
[2016-11-23 09:42:25.413]		推广：http://fan.test.lacues.cn/Account/MyTKSH_List.html?paytype=TKSH__fan.test.lacues.cn____
[2016-11-23 09:47:17.899]		推广：__fan.test.lacues.cn____
[2016-11-23 09:48:29.622]		推广：http://fan.test.lacues.cn/Account/MyTKSH_List.html?paytype=TKSH__fan.test.lacues.cn____
[2016-11-23 09:49:04.264]		推广：http://fan.test.lacues.cn/__fan.test.lacues.cn____
[2016-11-23 09:49:06.164]		推广：http://fan.test.lacues.cn/Account/index.html?t=0.6148697569909136__fan.test.lacues.cn____
[2016-11-23 09:49:10.923]		推广：http://fan.test.lacues.cn/Account/login.html?t=0.7569909128313241__fan.test.lacues.cn____
[2016-11-23 09:49:12.996]		推广：http://fan.test.lacues.cn/__fan.test.lacues.cn____
[2016-11-23 09:51:19.759]		推广：http://fan.test.lacues.cn/Account/MyTKSH_List.html?paytype=TKSH__fan.test.lacues.cn____
[2016-11-23 09:51:23.468]		推广：http://fan.test.lacues.cn/Account/MyTKSH_TXWL.html?order_code=DD1242103__fan.test.lacues.cn____
[2016-11-23 09:55:56.084]		推广：http://fan.test.lacues.cn/Account/MyTKSH_TXWL.html?order_code=DD1242103__fan.test.lacues.cn____
[2016-11-23 09:55:59.350]		推广：http://fan.test.lacues.cn/Account/MyTKSH_List.html?paytype=TKSH__fan.test.lacues.cn____
[2016-11-23 09:56:01.041]		推广：http://fan.test.lacues.cn/Account/index.html?t=0.5890259423758835__fan.test.lacues.cn____
[2016-11-23 09:56:27.649]		推广：http://fan.test.lacues.cn/Account/login.html?t=0.20733958599157631__fan.test.lacues.cn____
[2016-11-23 09:56:28.838]		推广：http://fan.test.lacues.cn/__fan.test.lacues.cn____
[2016-11-23 09:56:30.910]		推广：http://fan.test.lacues.cn/Account/index.html?t=0.8549530024174601__fan.test.lacues.cn____
[2016-11-23 09:56:32.434]		推广：http://fan.test.lacues.cn/Account/MyTKSH_List.html?paytype=TKSH__fan.test.lacues.cn____
[2016-11-23 09:57:19.411]		推广：http://fan.test.lacues.cn/Account/MyTKSH_TXWL.html?order_code=DD1242103__fan.test.lacues.cn____
[2016-11-23 10:02:29.098]		推广：http://fan.test.lacues.cn/Account/index.html?t=0.2329163709327824__fan.test.lacues.cn____
[2016-11-23 10:02:30.131]		推广：http://fan.test.lacues.cn/Account/MyAccount.html?t=0.17710708288889765__fan.test.lacues.cn____
[2016-11-23 10:02:33.419]		推广：http://fan.test.lacues.cn/Account/AddressList.html?t=0.1716296383938729__fan.test.lacues.cn____
[2016-11-23 10:02:36.337]		推广：http://fan.test.lacues.cn/Account/login.html__fan.test.lacues.cn____
[2016-11-23 10:02:39.140]		推广：http://fan.test.lacues.cn/Account/AddressList.html?t=0.1716296383938729__fan.test.lacues.cn____
[2016-11-23 10:02:42.038]		推广：http://fan.test.lacues.cn/Account/AddressList.html?t=0.1716296383938729__fan.test.lacues.cn____
[2016-11-23 10:02:42.829]		推广：http://fan.test.lacues.cn/Account/AddressList.html?t=0.1716296383938729__fan.test.lacues.cn____
[2016-11-23 10:03:02.425]		推广：__fan.test.lacues.cn____
[2016-11-23 10:03:06.169]		推广：__fan.test.lacues.cn____
[2016-11-23 10:03:09.056]		推广：__fan.test.lacues.cn____
[2016-11-23 10:03:10.364]		推广：__fan.test.lacues.cn____
[2016-11-23 10:06:52.868]		推广：http://fan.test.lacues.cn/Account/AddressList.html?t=0.1716296383938729__fan.test.lacues.cn____
[2016-11-23 10:06:53.917]		推广：http://fan.test.lacues.cn/Account/AddressList.html?t=0.1716296383938729__fan.test.lacues.cn____
[2016-11-23 10:18:14.952]		推广：__fan.test.lacues.cn____
