[2016-11-16 10:25:58.296]		推广：__fan.test.lacues.cn____
[2016-11-16 10:28:14.116]		推广：http://fan.test.lacues.cn/__fan.test.lacues.cn____
[2016-11-16 10:28:15.244]		推广：http://fan.test.lacues.cn/Account/index.html?t=0.7925021034948421__fan.test.lacues.cn____
[2016-11-16 10:28:19.972]		推广：http://fan.test.lacues.cn/Account/login.html?t=0.40539036294887487__fan.test.lacues.cn____
[2016-11-16 10:28:25.326]		推广：http://fan.test.lacues.cn/__fan.test.lacues.cn____
[2016-11-16 10:28:46.752]		推广：http://fan.test.lacues.cn/Account/index.html?t=0.6794470466911835__fan.test.lacues.cn____
[2016-11-16 10:29:35.394]		推广：http://fan.test.lacues.cn/Account/MyTKSH_List.html?paytype=TKSH__fan.test.lacues.cn____
[2016-11-16 10:30:36.870]		推广：__fan.test.lacues.cn____
[2016-11-16 10:30:52.617]		推广：__fan.test.lacues.cn____
[2016-11-16 10:41:00.711]		推广：__fan.test.lacues.cn____
[2016-11-16 11:07:46.759]		推广：http://fan.test.lacues.cn/Account/MyTKSH_List.html?paytype=TKSH__fan.test.lacues.cn____
[2016-11-16 11:49:08.829]		推广：http://fan.test.lacues.cn/__fan.test.lacues.cn____
[2016-11-16 11:49:10.688]		推广：http://fan.test.lacues.cn/Account/index.html?t=0.33169734734620926__fan.test.lacues.cn____
[2016-11-16 11:49:19.137]		推广：http://fan.test.lacues.cn/Account/login.html?t=0.5206699037431335__fan.test.lacues.cn____
[2016-11-16 11:50:50.983]		推广：http://fan.test.lacues.cn/__fan.test.lacues.cn____
[2016-11-16 11:50:54.886]		推广：http://fan.test.lacues.cn/Account/index.html?t=0.7453753287975871__fan.test.lacues.cn____
[2016-11-16 11:51:22.895]		推广：http://fan.test.lacues.cn/Account/MyOrder_List.html?paytype=DFK__fan.test.lacues.cn____
[2016-11-16 11:51:45.617]		推广：http://fan.test.lacues.cn/Account/index.html?t=0.7453753287975871__fan.test.lacues.cn____
[2016-11-16 11:52:22.312]		推广：__fan.test.lacues.cn____
[2016-11-16 11:52:27.098]		推广：http://fan.test.lacues.cn/__fan.test.lacues.cn____
[2016-11-16 11:52:34.217]		推广：http://fan.test.lacues.cn/Account/index.html?t=0.2636970200110227__fan.test.lacues.cn____
[2016-11-16 11:53:08.286]		推广：__fan.test.lacues.cn____
[2016-11-16 11:53:15.709]		推广：http://fan.test.lacues.cn/__fan.test.lacues.cn____
[2016-11-16 11:53:19.109]		推广：http://fan.test.lacues.cn/Account/index.html?t=0.5601269397884607__fan.test.lacues.cn____
[2016-11-16 11:53:25.647]		推广：http://fan.test.lacues.cn/Account/MyOrder_List.html?paytype=DFK__fan.test.lacues.cn____
[2016-11-16 11:54:14.753]		推广：http://fan.test.lacues.cn/Account/MyOrder_List.html?paytype=DFK__fan.test.lacues.cn____
[2016-11-16 11:54:21.008]		推广：http://fan.test.lacues.cn/Account/index.html?t=0.5601269397884607__fan.test.lacues.cn____
[2016-11-16 11:56:43.179]		推广：http://fan.test.lacues.cn/Account/MyOrder_List.html?paytype=DFK__fan.test.lacues.cn____
[2016-11-16 12:00:31.925]		推广：http://fan.test.lacues.cn/Account/MyOrder_List.html?paytype=DFK__fan.test.lacues.cn____
[2016-11-16 12:01:59.474]		推广：__fan.test.lacues.cn____
[2016-11-16 12:02:13.976]		推广：http://fan.test.lacues.cn/order/MyOrder_pay.html?showwxpaytitle=1__fan.test.lacues.cn____
[2016-11-16 12:02:18.557]		推广：__fan.test.lacues.cn____
[2016-11-16 12:03:10.433]		推广：http://test.pay.lacues.cn/createorder/?c_order=OS1374103__fan.test.lacues.cn____
[2016-11-16 12:05:02.625]		推广：http://fan.test.lacues.cn/Order/OrderSuccess.html?orderid=OS1374103__fan.test.lacues.cn____
[2016-11-16 12:05:25.237]		推广：http://fan.test.lacues.cn/Account/MyOrder_List.html?paytype=ALL__fan.test.lacues.cn____
[2016-11-16 12:06:29.096]		推广：http://fan.test.lacues.cn/Order/OrderSuccess.html?orderid=OS1374103__fan.test.lacues.cn____
[2016-11-16 12:07:03.453]		推广：http://fan.test.lacues.cn/Account/MyOrder_List.html?paytype=DFK__fan.test.lacues.cn____
[2016-11-16 12:07:03.530]		推广：__fan.test.lacues.cn____
[2016-11-16 12:07:05.560]		推广：http://fan.test.lacues.cn/Account/index.html?t=0.5601269397884607__fan.test.lacues.cn____
[2016-11-16 12:07:11.322]		推广：http://fan.test.lacues.cn/__fan.test.lacues.cn____
[2016-11-16 12:07:40.972]		推广：http://fan.test.lacues.cn/Account/index.html?t=0.649627435952425__fan.test.lacues.cn____
[2016-11-16 12:07:48.957]		推广：http://fan.test.lacues.cn/Account/MyOrder_List.html?paytype=DFK__fan.test.lacues.cn____
[2016-11-16 12:08:31.265]		推广：__fan.test.lacues.cn____
[2016-11-16 12:08:32.474]		推广：http://fan.test.lacues.cn/__fan.test.lacues.cn____
[2016-11-16 12:08:35.145]		推广：http://fan.test.lacues.cn/Account/index.html?t=0.26202404967653825__fan.test.lacues.cn____
[2016-11-16 12:08:37.581]		推广：http://fan.test.lacues.cn/Account/MyOrder_List.html?paytype=DFH__fan.test.lacues.cn____
[2016-11-16 14:05:43.400]		推广：__fan.test.lacues.cn____
[2016-11-16 14:55:40.571]		推广：http://fan.test.lacues.cn/Account/MyOrder_detail.html?order_code=DD1394103__fan.test.lacues.cn____
