[2016-11-11 11:10:32.308]		推广：__fan.test.lacues.cn____
[2016-11-11 11:10:42.193]		推广：__fan.test.lacues.cn____
[2016-11-11 11:10:51.832]		推广：http://fan.test.lacues.cn/__fan.test.lacues.cn____
[2016-11-11 11:10:59.369]		推广：http://fan.test.lacues.cn/Search.html?t=0.003943559943927255__fan.test.lacues.cn____
[2016-11-11 11:45:57.234]		推广：__fan.test.lacues.cn____
[2016-11-11 11:46:00.988]		推广：__fan.test.lacues.cn____
[2016-11-11 11:46:11.562]		推广：http://fan.test.lacues.cn/Account/LoginOauth.aspx?TradeCode=WeiXin__fan.test.lacues.cn____
[2016-11-11 11:46:14.687]		推广：__fan.test.lacues.cn____
[2016-11-11 11:46:17.683]		推广：http://fan.test.lacues.cn/order/OrderConfirm.html?t=0.4753651793580502__fan.test.lacues.cn____
[2016-11-11 11:46:26.118]		推广：__fan.test.lacues.cn____
[2016-11-11 11:46:32.262]		推广：http://fan.test.lacues.cn/order/OrderConfirm.html?t=0.8264868792612106__fan.test.lacues.cn____
[2016-11-11 11:46:33.978]		推广：http://fan.test.lacues.cn/Order/CouponCodes.html?shouldPay=21__fan.test.lacues.cn____
[2016-11-11 11:46:37.596]		推广：http://fan.test.lacues.cn/order/OrderConfirm.html?t=0.8264868792612106__fan.test.lacues.cn____
[2016-11-11 11:46:39.596]		推广：http://fan.test.lacues.cn/Order/fapiao.html?uid=oz1WBswQafRgb3yokzvgkR9K3AOI__fan.test.lacues.cn____
[2016-11-11 11:48:28.237]		推广：http://fan.test.lacues.cn/Order/CouponCodes.html?shouldPay=21__fan.test.lacues.cn____
[2016-11-11 11:48:29.092]		推广：http://fan.test.lacues.cn/order/OrderConfirm.html?t=0.8264868792612106__fan.test.lacues.cn____
[2016-11-11 11:48:44.863]		推广：__fan.test.lacues.cn____
[2016-11-11 11:48:47.403]		推广：http://fan.test.lacues.cn/Account/LoginOauth.aspx?TradeCode=WeiXin__fan.test.lacues.cn____
[2016-11-11 11:48:53.224]		推广：http://fan.test.lacues.cn/Product_List.html?showtype=__fan.test.lacues.cn____
[2016-11-11 11:48:53.255]		推广：http://fan.test.lacues.cn/Search.html?t=0.2692566041368991__fan.test.lacues.cn____
[2016-11-11 12:04:49.433]		推广：http://fan.test.lacues.cn/Search.html?t=0.003943559943927255__fan.test.lacues.cn____
[2016-11-11 12:11:51.150]		推广：http://fan.test.lacues.cn/__fan.test.lacues.cn____
[2016-11-11 12:12:52.693]		推广：http://fan.test.lacues.cn/Product_List.html?showtype=__fan.test.lacues.cn____
