[2016-12-25 11:54:47.502]		推广：__fan.test.lacues.cn____
[2016-12-25 11:54:53.144]		推广：http://fan.test.lacues.cn/Account/login_m.html?gobackurlaa=aHR0cDovL2Zhbi50ZXN0LmxhY3Vlcy5jbi9BY2NvdW50L2luZGV4Lmh0bWw/dD0wLjIxODcyMDg2Mjg3NDc2MTIy__fan.test.lacues.cn____
[2016-12-25 11:55:06.840]		推广：http://fan.test.lacues.cn/Account/login.html?t=0.05971775623038411__fan.test.lacues.cn____
[2016-12-25 11:55:11.533]		推广：http://fan.test.lacues.cn/index.html__fan.test.lacues.cn____
[2016-12-25 11:55:15.519]		推广：http://fan.test.lacues.cn/Account/index.html?t=0.8886736806016415__fan.test.lacues.cn____
[2016-12-25 11:55:21.978]		推广：__fan.test.lacues.cn____
[2016-12-25 11:55:24.844]		推广：http://fan.test.lacues.cn/Account/MyOrder_List.html?paytype=JYCG__fan.test.lacues.cn____
[2016-12-25 11:55:27.505]		推广：http://fan.test.lacues.cn/Account/index.html?t=0.8886736806016415__fan.test.lacues.cn____
[2016-12-25 11:55:35.679]		推广：http://fan.test.lacues.cn/Account/MyOrder_List.html?paytype=ALL__fan.test.lacues.cn____
[2016-12-25 11:55:47.983]		推广：http://fan.test.lacues.cn/Review/ReviewRelease.html?order_code=DD1471103__fan.test.lacues.cn____
[2016-12-25 11:55:52.773]		推广：http://fan.test.lacues.cn/Account/MyOrder_List.html?paytype=JYCG__fan.test.lacues.cn____
[2016-12-25 11:55:55.991]		推广：http://fan.test.lacues.cn/Account/MyOrder_List.html?paytype=ALL__fan.test.lacues.cn____
[2016-12-25 11:55:58.589]		推广：http://fan.test.lacues.cn/Account/index.html?t=0.8886736806016415__fan.test.lacues.cn____
[2016-12-25 11:56:03.228]		推广：http://fan.test.lacues.cn/Account/MyTKSH_List.html?paytype=TKSH__fan.test.lacues.cn____
[2016-12-25 12:01:36.033]		推广：http://fan.test.lacues.cn/Account/MyTKSH_List.html?paytype=TKSH__fan.test.lacues.cn____
[2016-12-25 12:01:48.739]		推广：http://fan.test.lacues.cn/Account/MyTKSH_List.html?paytype=TKSH__fan.test.lacues.cn____
[2016-12-25 12:01:56.963]		推广：http://fan.test.lacues.cn/Account/MyTKSH_TXWL.html?order_code=DD1587103__fan.test.lacues.cn____
[2016-12-25 12:02:00.861]		推广：http://fan.test.lacues.cn/Account/MyTKSH_List.html?paytype=TKSH__fan.test.lacues.cn____
[2016-12-25 12:02:07.610]		推广：http://fan.test.lacues.cn/Account/MyTKSH_Detail.html?order_code=DD1471103__fan.test.lacues.cn____
[2016-12-25 12:02:12.577]		推广：http://fan.test.lacues.cn/Account/MyTKSH_List.html?paytype=TKSH__fan.test.lacues.cn____
[2016-12-25 12:02:15.789]		推广：http://fan.test.lacues.cn/Account/MyTKSH_Detail.html?order_code=DD1450103__fan.test.lacues.cn____
[2016-12-25 12:02:20.271]		推广：http://fan.test.lacues.cn/Account/MyTKSH_List.html?paytype=TKSH__fan.test.lacues.cn____
[2016-12-25 12:02:25.879]		推广：http://fan.test.lacues.cn/Account/MyTKSH_Detail.html?order_code=DD1473103__fan.test.lacues.cn____
[2016-12-25 12:02:29.198]		推广：http://fan.test.lacues.cn/Account/MyTKSH_List.html?paytype=TKSH__fan.test.lacues.cn____
