[2016-11-14 09:52:22.048]		推广：__fan.test.lacues.cn____
[2016-11-14 09:52:41.468]		推广：http://fan.test.lacues.cn/__fan.test.lacues.cn____
[2016-11-14 09:52:42.700]		推广：http://fan.test.lacues.cn/Account/index.html?t=0.849960291434662__fan.test.lacues.cn____
[2016-11-14 09:52:47.045]		推广：http://fan.test.lacues.cn/Account/login.html?t=0.3223422179996913__fan.test.lacues.cn____
[2016-11-14 09:53:21.648]		推广：http://fan.test.lacues.cn/__fan.test.lacues.cn____
[2016-11-14 09:53:25.049]		推广：http://fan.test.lacues.cn/Account/index.html?t=0.04047709002287081__fan.test.lacues.cn____
[2016-11-14 09:53:54.810]		推广：http://fan.test.lacues.cn/Account/index.html?t=0.04047709002287081__fan.test.lacues.cn____
[2016-11-14 09:58:09.043]		推广：http://fan.test.lacues.cn/Account/index.html?t=0.04047709002287081__fan.test.lacues.cn____
[2016-11-14 10:00:16.615]		推广：http://fan.test.lacues.cn/Account/index.html?t=0.04047709002287081__fan.test.lacues.cn____
[2016-11-14 10:02:48.340]		推广：http://fan.test.lacues.cn/Account/index.html?t=0.04047709002287081__fan.test.lacues.cn____
[2016-11-14 10:07:24.223]		推广：__fan.test.lacues.cn____
[2016-11-14 10:12:01.228]		推广：http://fan.test.lacues.cn/__fan.test.lacues.cn____
[2016-11-14 10:12:03.046]		推广：http://fan.test.lacues.cn/Account/index.html?t=0.7626975373045242__fan.test.lacues.cn____
[2016-11-14 10:20:46.800]		推广：http://fan.test.lacues.cn/__fan.test.lacues.cn____
[2016-11-14 10:20:48.986]		推广：__fan.test.lacues.cn____
[2016-11-14 10:20:51.154]		推广：http://fan.test.lacues.cn/__fan.test.lacues.cn____
[2016-11-14 10:20:52.381]		推广：http://fan.test.lacues.cn/Account/index.html?t=0.9711162023443849__fan.test.lacues.cn____
[2016-11-14 10:20:55.269]		推广：http://fan.test.lacues.cn/Account/MyOrder_List.html?paytype=ALL__fan.test.lacues.cn____
[2016-11-14 10:31:40.568]		推广：http://fan.test.lacues.cn/Account/MyOrder_List.html?paytype=ALL__fan.test.lacues.cn____
[2016-11-14 10:32:20.294]		推广：http://fan.test.lacues.cn/Account/MyOrder_List.html?paytype=ALL__fan.test.lacues.cn____
[2016-11-14 10:38:16.534]		推广：http://fan.test.lacues.cn/Account/MyOrder_List.html?paytype=ALL__fan.test.lacues.cn____
[2016-11-14 11:00:58.366]		推广：__fan.test.lacues.cn____
[2016-11-14 11:01:04.865]		推广：http://fan.test.lacues.cn/__fan.test.lacues.cn____
[2016-11-14 11:01:06.179]		推广：http://fan.test.lacues.cn/Account/index.html?t=0.741807857273231__fan.test.lacues.cn____
[2016-11-14 11:01:08.483]		推广：http://fan.test.lacues.cn/Account/login.html?t=0.6176322122975568__fan.test.lacues.cn____
[2016-11-14 11:01:59.904]		推广：http://fan.test.lacues.cn/__fan.test.lacues.cn____
[2016-11-14 11:02:02.740]		推广：http://fan.test.lacues.cn/Search.html?t=0.0009353028569694111__fan.test.lacues.cn____
[2016-11-14 11:02:52.926]		推广：http://fan.test.lacues.cn/Search.html?t=0.0009353028569694111__fan.test.lacues.cn____
[2016-11-14 11:04:56.295]		推广：http://fan.test.lacues.cn/__fan.test.lacues.cn____
[2016-11-14 11:04:58.818]		推广：http://fan.test.lacues.cn/Search.html?t=0.6521533200129717__fan.test.lacues.cn____
[2016-11-14 11:05:00.016]		推广：http://fan.test.lacues.cn/__fan.test.lacues.cn____
[2016-11-14 11:05:01.393]		推广：http://fan.test.lacues.cn/Account/index.html?t=0.21361948760432514__fan.test.lacues.cn____
[2016-11-14 11:05:02.932]		推广：http://fan.test.lacues.cn/Account/MyAccount.html?t=0.4947080722021131__fan.test.lacues.cn____
[2016-11-14 11:05:04.200]		推广：http://fan.test.lacues.cn/Account/index.html?t=0.7025886744961787__fan.test.lacues.cn____
[2016-11-14 11:05:06.042]		推广：http://fan.test.lacues.cn/__fan.test.lacues.cn____
[2016-11-14 11:05:06.869]		推广：http://fan.test.lacues.cn/Search.html?t=0.19776390341671268__fan.test.lacues.cn____
[2016-11-14 11:05:09.988]		推广：http://fan.test.lacues.cn/Product_List.html?showtype=__fan.test.lacues.cn____
[2016-11-14 11:19:40.484]		推广：http://fan.test.lacues.cn/Product_Detail.html?pid=8016465485__fan.test.lacues.cn____
[2016-11-14 11:19:41.727]		推广：http://fan.test.lacues.cn/Product_List.html?showtype=__fan.test.lacues.cn____
[2016-11-14 11:19:44.561]		推广：http://fan.test.lacues.cn/Search.html?t=0.19776390341671268__fan.test.lacues.cn____
[2016-11-14 11:37:35.946]		推广：http://fan.test.lacues.cn/Account/index.html?t=0.9711162023443849__fan.test.lacues.cn____
[2016-11-14 11:37:36.918]		推广：http://fan.test.lacues.cn/__fan.test.lacues.cn____
[2016-11-14 11:37:40.312]		推广：__fan.test.lacues.cn____
[2016-11-14 11:37:50.312]		推广：http://fan.test.lacues.cn/__fan.test.lacues.cn____
[2016-11-14 11:50:35.031]		推广：http://fan.test.lacues.cn/Search.html?t=0.19776390341671268__fan.test.lacues.cn____
[2016-11-14 11:56:43.707]		推广：http://fan.test.lacues.cn/Search.html?t=0.19776390341671268__fan.test.lacues.cn____
[2016-11-14 14:40:04.355]		推广：http://fan.test.lacues.cn/Search.html?t=0.19776390341671268__fan.test.lacues.cn____
[2016-11-14 14:40:05.135]		推广：http://fan.test.lacues.cn/__fan.test.lacues.cn____
[2016-11-14 14:40:06.264]		推广：http://fan.test.lacues.cn/Search.html?t=0.2051501877863029__fan.test.lacues.cn____
[2016-11-14 14:40:09.572]		推广：http://fan.test.lacues.cn/Product_List.html?showtype=__fan.test.lacues.cn____
[2016-11-14 14:57:20.897]		推广：__fan.test.lacues.cn____
[2016-11-14 14:57:22.720]		推广：__fan.test.lacues.cn____
[2016-11-14 14:57:23.459]		推广：http://fan.test.lacues.cn/__fan.test.lacues.cn____
[2016-11-14 14:57:24.624]		推广：http://fan.test.lacues.cn/Search.html?t=0.928403688416582__fan.test.lacues.cn____
[2016-11-14 14:57:26.104]		推广：http://fan.test.lacues.cn/Product_List.html?showtype=__fan.test.lacues.cn____
