[2016-11-22 10:16:50.450]		推广：__fan.test.lacues.cn____
[2016-11-22 10:16:53.957]		推广：__fan.test.lacues.cn____
[2016-11-22 10:16:55.234]		推广：http://fan.test.lacues.cn/__fan.test.lacues.cn____
[2016-11-22 10:16:56.545]		推广：http://fan.test.lacues.cn/Account/index.html?t=0.4631552293822312__fan.test.lacues.cn____
[2016-11-22 10:17:01.211]		推广：http://fan.test.lacues.cn/Account/login.html?t=0.9880661667710027__fan.test.lacues.cn____
[2016-11-22 10:17:08.231]		推广：http://fan.test.lacues.cn/__fan.test.lacues.cn____
[2016-11-22 10:17:20.524]		推广：http://fan.test.lacues.cn/Account/login.html?t=0.9880661667710027__fan.test.lacues.cn____
[2016-11-22 10:17:23.909]		推广：http://fan.test.lacues.cn/__fan.test.lacues.cn____
[2016-11-22 10:17:26.935]		推广：http://fan.test.lacues.cn/Account/login.html?t=0.9880661667710027__fan.test.lacues.cn____
[2016-11-22 10:17:31.529]		推广：http://fan.test.lacues.cn/__fan.test.lacues.cn____
[2016-11-22 10:17:40.009]		推广：http://fan.test.lacues.cn/cart.html__fan.test.lacues.cn____
[2016-11-22 10:17:44.073]		推广：http://fan.test.lacues.cn/Sale/FullCut.html?t=0.14694139176795984__fan.test.lacues.cn____
[2016-11-22 10:17:45.791]		推广：http://fan.test.lacues.cn/cart.html__fan.test.lacues.cn____
[2016-11-22 10:17:47.502]		推广：http://fan.test.lacues.cn/__fan.test.lacues.cn____
[2016-11-22 10:18:17.512]		推广：__fan.test.lacues.cn____
[2016-11-22 10:18:18.104]		推广：http://fan.test.lacues.cn/cart.html__fan.test.lacues.cn____
[2016-11-22 10:18:18.260]		推广：http://fan.test.lacues.cn/Account/login.html?t=0.9880661667710027__fan.test.lacues.cn____
[2016-11-22 10:18:18.338]		推广：http://fan.test.lacues.cn/__fan.test.lacues.cn____
[2016-11-22 10:18:21.228]		推广：http://fan.test.lacues.cn/__fan.test.lacues.cn____
[2016-11-22 10:18:21.570]		推广：http://fan.test.lacues.cn/__fan.test.lacues.cn____
[2016-11-22 10:18:23.595]		推广：__fan.test.lacues.cn____
[2016-11-22 10:18:34.661]		推广：http://fan.test.lacues.cn/__fan.test.lacues.cn____
[2016-11-22 10:18:36.294]		推广：http://fan.test.lacues.cn/Search.html?t=0.7240461200400796__fan.test.lacues.cn____
[2016-11-22 10:18:38.047]		推广：http://fan.test.lacues.cn/Product_List.html?showtype=__fan.test.lacues.cn____
[2016-11-22 10:18:40.822]		推广：http://fan.test.lacues.cn/Product_Detail.html?pid=58016100288__fan.test.lacues.cn____
[2016-11-22 10:19:07.868]		推广：http://fan.test.lacues.cn/Product_List.html?showtype=__fan.test.lacues.cn____
[2016-11-22 10:19:17.120]		推广：http://fan.test.lacues.cn/Product_Detail.html?pid=58016100288__fan.test.lacues.cn____
[2016-11-22 10:20:19.036]		推广：http://fan.test.lacues.cn/Product_List.html?showtype=__fan.test.lacues.cn____
[2016-11-22 10:20:45.101]		推广：__fan.test.lacues.cn____
[2016-11-22 10:20:53.512]		推广：http://fan.test.lacues.cn/__fan.test.lacues.cn____
[2016-11-22 10:20:58.464]		推广：http://fan.test.lacues.cn/Product_Detail.html?pid=8016465488__fan.test.lacues.cn____
[2016-11-22 10:21:28.284]		推广：http://fan.test.lacues.cn/Product_Detail.html?pid=8016465488__fan.test.lacues.cn____
[2016-11-22 10:22:04.715]		推广：http://fan.test.lacues.cn/__fan.test.lacues.cn____
[2016-11-22 10:24:45.189]		推广：http://fan.test.lacues.cn/__fan.test.lacues.cn____
[2016-11-22 10:24:54.643]		推广：http://fan.test.lacues.cn/Product_Detail.html?pid=58016100288__fan.test.lacues.cn____
[2016-11-22 10:24:57.483]		推广：http://fan.test.lacues.cn/__fan.test.lacues.cn____
[2016-11-22 10:24:58.107]		推广：http://fan.test.lacues.cn/Account/index.html?t=0.27960607923671055__fan.test.lacues.cn____
[2016-11-22 10:25:02.726]		推广：http://fan.test.lacues.cn/__fan.test.lacues.cn____
[2016-11-22 10:25:06.655]		推广：http://fan.test.lacues.cn/Product_Detail.html?pid=58016100288__fan.test.lacues.cn____
[2016-11-22 10:26:45.106]		推广：http://fan.test.lacues.cn/__fan.test.lacues.cn____
[2016-11-22 10:26:50.747]		推广：http://fan.test.lacues.cn/Product_Detail.html?pid=8016465488__fan.test.lacues.cn____
[2016-11-22 10:26:56.620]		推广：http://fan.test.lacues.cn/order/OrderConfirm.html?t=0.5097079180848649__fan.test.lacues.cn____
[2016-11-22 10:31:27.896]		推广：__fan.test.lacues.cn____
[2016-11-22 10:31:40.215]		推广：http://fan.test.lacues.cn/__fan.test.lacues.cn____
[2016-11-22 10:31:49.665]		推广：http://fan.test.lacues.cn/cart.html__fan.test.lacues.cn____
