[2016-12-21 18:04:39.341]		推广：__fan.test.lacues.cn____
[2016-12-21 18:04:43.354]		推广：http://fan.test.lacues.cn/__fan.test.lacues.cn____
[2016-12-21 18:04:47.142]		推广：http://fan.test.lacues.cn/Account/index.html?t=0.9944822774268687__fan.test.lacues.cn____
[2016-12-21 18:04:49.040]		推广：http://fan.test.lacues.cn/Account/login.html?t=0.7214148619677871__fan.test.lacues.cn____
[2016-12-21 18:05:17.217]		推广：__fan.test.lacues.cn____
[2016-12-21 18:05:19.784]		推广：http://fan.test.lacues.cn/__fan.test.lacues.cn____
[2016-12-21 18:05:21.913]		推广：http://fan.test.lacues.cn/Account/index.html?t=0.7869476061314344__fan.test.lacues.cn____
[2016-12-21 18:05:23.822]		推广：http://fan.test.lacues.cn/Account/login.html?t=0.47869714302942157__fan.test.lacues.cn____
[2016-12-21 18:06:16.269]		推广：http://fan.test.lacues.cn/Account/login.html?t=0.47869714302942157__fan.test.lacues.cn____
[2016-12-21 18:06:24.100]		推广：http://fan.test.lacues.cn/Account/login.html?t=0.47869714302942157__fan.test.lacues.cn____
[2016-12-21 18:06:30.912]		推广：http://fan.test.lacues.cn/Account/login_m.html?gobackurlaa=aHR0cDovL2Zhbi50ZXN0LmxhY3Vlcy5jbi9BY2NvdW50L2luZGV4Lmh0bWw/dD0wLjc4Njk0NzYwNjEzMTQzNDQ=__fan.test.lacues.cn____
[2016-12-21 18:06:34.015]		推广：http://fan.test.lacues.cn/Account/login.html?t=0.6152730791363865__fan.test.lacues.cn____
[2016-12-21 18:06:41.247]		推广：__fan.test.lacues.cn____
[2016-12-21 18:06:43.376]		推广：http://fan.test.lacues.cn/__fan.test.lacues.cn____
[2016-12-21 18:06:45.228]		推广：http://fan.test.lacues.cn/Account/index.html?t=0.968910928768173__fan.test.lacues.cn____
[2016-12-21 18:06:52.998]		推广：__fan.test.lacues.cn____
[2016-12-21 18:06:58.113]		推广：http://fan.test.lacues.cn/Account/login.html?t=0.689714302474348__fan.test.lacues.cn____
[2016-12-21 18:06:59.814]		推广：http://fan.test.lacues.cn/Account/login.html?t=0.689714302474348__fan.test.lacues.cn____
[2016-12-21 18:07:32.439]		推广：http://test-dlq.ycp8.cn/cdlq/web/template/template.html?pNum=PNM161111100001__fan.test.lacues.cn____
[2016-12-21 18:07:54.139]		推广：http://fan.test.lacues.cn/Product_Detail.html?pid=58016100283__fan.test.lacues.cn____
[2016-12-21 18:08:08.291]		推广：http://fan.test.lacues.cn/__fan.test.lacues.cn____
