[2016-12-20 12:02:59.917]		推广：__fan.test.lacues.cn____
[2016-12-20 12:04:38.054]		推广：__fan.test.lacues.cn____
[2016-12-20 12:19:22.377]		推广：http://fan.test.lacues.cn/__fan.test.lacues.cn____
[2016-12-20 14:15:48.414]		推广：http://fan.test.lacues.cn/Product_Detail.html?pid=8016465485__fan.test.lacues.cn____
[2016-12-20 14:15:53.367]		推广：http://fan.test.lacues.cn/__fan.test.lacues.cn____
[2016-12-20 14:15:59.343]		推广：http://fan.test.lacues.cn/Search.html?t=0.6961406727479151__fan.test.lacues.cn____
[2016-12-20 14:16:16.931]		推广：http://fan.test.lacues.cn/Product_List.html?showtype=__fan.test.lacues.cn____
[2016-12-20 14:16:19.722]		推广：http://fan.test.lacues.cn/Search.html?t=0.31009743897885467__fan.test.lacues.cn____
[2016-12-20 14:16:21.583]		推广：http://fan.test.lacues.cn/Product_List.html?showtype=__fan.test.lacues.cn____
[2016-12-20 14:16:23.923]		推广：http://fan.test.lacues.cn/Search.html?t=0.5481249738022462__fan.test.lacues.cn____
[2016-12-20 14:16:28.182]		推广：http://fan.test.lacues.cn/Product_List.html?showtype=__fan.test.lacues.cn____
[2016-12-20 14:16:32.358]		推广：http://fan.test.lacues.cn/Search.html?t=0.9038699940076249__fan.test.lacues.cn____
[2016-12-20 14:16:35.142]		推广：http://fan.test.lacues.cn/Product_List.html?showtype=__fan.test.lacues.cn____
[2016-12-20 14:16:44.817]		推广：http://fan.test.lacues.cn/Search.html?t=0.6427063135144286__fan.test.lacues.cn____
[2016-12-20 14:25:58.943]		推广：http://fan.test.lacues.cn/Product_List.html?showtype=__fan.test.lacues.cn____
[2016-12-20 14:38:16.223]		推广：http://fan.test.lacues.cn/Search.html?t=0.14028715256670465__fan.test.lacues.cn____
[2016-12-20 14:38:17.823]		推广：http://fan.test.lacues.cn/Product_List.html?showtype=__fan.test.lacues.cn____
[2016-12-20 14:38:21.726]		推广：http://fan.test.lacues.cn/Search.html?t=0.7104207592727825__fan.test.lacues.cn____
[2016-12-20 14:39:50.643]		推广：http://fan.test.lacues.cn/Product_List.html?showtype=__fan.test.lacues.cn____
[2016-12-20 14:40:32.720]		推广：http://fan.test.lacues.cn/Search.html?t=0.7104207592727825__fan.test.lacues.cn____
[2016-12-20 14:40:37.365]		推广：http://fan.test.lacues.cn/Product_List.html?showtype=__fan.test.lacues.cn____
[2016-12-20 14:40:41.468]		推广：http://fan.test.lacues.cn/Search.html?t=0.5376248661214018__fan.test.lacues.cn____
[2016-12-20 14:40:44.795]		推广：http://fan.test.lacues.cn/Product_List.html?showtype=__fan.test.lacues.cn____
[2016-12-20 14:41:18.600]		推广：http://fan.test.lacues.cn/Search.html?t=0.27608381527518233__fan.test.lacues.cn____
[2016-12-20 14:41:20.741]		推广：http://fan.test.lacues.cn/Product_List.html?showtype=__fan.test.lacues.cn____
[2016-12-20 14:41:35.349]		推广：http://fan.test.lacues.cn/Product_List.html?showtype=__fan.test.lacues.cn____
[2016-12-20 14:41:39.015]		推广：http://fan.test.lacues.cn/Product_List.html?showtype=__fan.test.lacues.cn____
[2016-12-20 14:41:43.052]		推广：http://fan.test.lacues.cn/Product_List.html?showtype=__fan.test.lacues.cn____
[2016-12-20 14:41:46.017]		推广：http://fan.test.lacues.cn/Search.html?t=0.27608381527518233__fan.test.lacues.cn____
[2016-12-20 14:45:39.350]		推广：http://fan.test.lacues.cn/Product_List.html?showtype=__fan.test.lacues.cn____
[2016-12-20 14:45:46.536]		推广：http://fan.test.lacues.cn/Search.html?t=0.2886363279091848__fan.test.lacues.cn____
[2016-12-20 15:27:15.115]		推广：http://fan.test.lacues.cn/Product_List.html?showtype=__fan.test.lacues.cn____
